pubmed_id,Keyword,CUIs
35143603,patients,{'C0030705'}
35143603,acute ischemic stroke,
35143603,vessel occlusion,
35143603,reperfusion,"{'C0684253', 'C0035124'}"
35143603,mechanical thrombectomy,
35143603,disability,{'C0231170'}
35143603,free,{'C0332296'}
35143603,days,{'C0439228'}
35143603,incomplete,"{'C0728938', 'C1548386', 'C0205257'}"
35143603,microcirculatory reperfusion,
35143603,suboptimal,
35143603,clinical benefits,
35143603,investigate,{'C1292732'}
35143603,treatment,"{'C0087111', 'C3887704', 'C0039798'}"
35143603,adjunct intra-arterial alteplase,
35143603,thrombectomy,{'C0162578'}
35143603,improves,
35143603,outcomes,
35143603,reperfusion,"{'C0684253', 'C0035124'}"
35143603,randomized,{'C0034656'}
35143603,double-blind,
35143603,placebo-controlled trial,
35143603,December,{'C3830550'}
35143603,stroke,{'C0038454'}
35143603,centers,{'C0205099'}
35143603,Catalonia,
35143603,Spain,{'C0037747'}
35143603,study,{'C0947630'}
35143603,patients,{'C0030705'}
35143603,acute ischemic stroke,
35143603,treated with,{'C1522326'}
35143603,thrombectomy,{'C0162578'}
35143603,stroke,{'C0038454'}
35143603,onset,{'C0332162'}
35143603,Treatment,"{'C0087111', 'C1522326', 'C1533734', 'C1705169'}"
35143603,Cerebral Ischemia angiographic score,
35143603,2b50,
35143603,Participants,
35143603,randomized,{'C0034656'}
35143603,intra-arterial alteplase,
35143603,maximum dose,
35143603,infused,
35143603,minutes,"{'C1282918', 'C0439232', 'C0700321'}"
35143603,placebo,"{'C0032042', 'C1696465'}"
35143603,primary outcome,
35143603,proportion,
35143603,patients,{'C0030705'}
35143603,score,{'C0449820'}
35143603,modified Rankin Scale,
35143603,no symptoms,
35143603,death,{'C0011065'}
35143603,patients,{'C0030705'}
35143603,treated,{'C1522326'}
35143603,randomized,{'C0034656'}
35143603,Safety,{'C0036043'}
35143603,outcomes,
35143603,rate,
35143603,symptomatic,{'C0231220'}
35143603,intracranial hemorrhage,{'C0151699'}
35143603,death,{'C0011065'}
35143603,study,{'C0947630'}
35143603,inability,
35143603,placebo,"{'C0032042', 'C1696465'}"
35143603,availability,{'C0470187'}
35143603,enrollment,"{'C3888021', 'C1516879', 'C1696073'}"
35143603,rate,
35143603,COVID-19,{'C5203670'}
35143603,pandemic,{'C1615608'}
35143603,patients,{'C0030705'}
35143603,acute ischemic stroke,
35143603,treated with,{'C1522326'}
35143603,thrombectomy,{'C0162578'}
35143603,study sites,
35143603,patients,{'C0030705'}
35143603,angiographic criteria,
35143603,patients,{'C0030705'}
35143603,randomized,{'C0034656'}
35143603,age,{'C0001779'}
35143603,SD,"{'C5203098', 'C0037717', 'C0038642', 'C1420113', 'C0871420', 'C5203099', 'C5203103', 'C5203100', 'C5203102', 'C1096903', 'C0332147', 'C2699239', 'C1705872', 'C5203101', 'C0677946'}"
35143603,years,{'C0439234'}
35143603,women,{'C0043210'}
35143603,treated,{'C1522326'}
35143603,randomized,{'C0034656'}
35143603,proportion,
35143603,participants,{'C0679646'}
35143603,modified Rankin Scale,
35143603,score,{'C0449820'}
35143603,days,{'C0439228'}
35143603,alteplase,{'C0032143'}
35143603,placebo,"{'C0032042', 'C1696465'}"
35143603,risk difference,
35143603,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35143603,proportion,
35143603,patients,{'C0030705'}
35143603,symptomatic,{'C0231220'}
35143603,intracranial hemorrhage,{'C0151699'}
35143603,hours,{'C0439227'}
35143603,alteplase,{'C0032143'}
35143603,placebo,"{'C0032042', 'C1696465'}"
35143603,risk difference,
35143603,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35143603,mortality,"{'C0026566', 'C0026565'}"
35143603,alteplase,{'C0032143'}
35143603,placebo,"{'C0032042', 'C1696465'}"
35143603,risk difference,
35143603,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35143603,patients,{'C0030705'}
35143603,vessel occlusion,
35143603,acute ischemic stroke,
35143603,reperfusion,"{'C0684253', 'C0035124'}"
35143603,thrombectomy,{'C0162578'}
35143603,adjunct intra-arterial alteplase,
35143603,compared,
35143603,placebo,"{'C0032042', 'C1696465'}"
35143603,likelihood,
35143603,neurological outcome,
35143603,days,{'C0439228'}
35143603,study,{'C0947630'}
35143603,limitations,{'C0449295'}
35143603,findings,{'C2607943'}
35143603,interpreted,{'C1285553'}
35143603,preliminary,{'C0439611'}
35143603,replication,"{'C0598312', 'C1883725'}"
35143603,EudraCT,{'C4329800'}
35143601,guidelines,"{'C0282423', 'C0220845', 'C0162791'}"
35143601,recommend,{'C0034866'}
35143601,intravenous alteplase,
35143601,patients,{'C0030705'}
35143601,acute ischemic stroke,
35143601,non-vitamin K antagonist,
35143601,NOACs,
35143601,evaluate,
35143601,safety,{'C0036043'}
35143601,functional,{'C0205245'}
35143601,outcomes,
35143601,intravenous alteplase,
35143601,patients,{'C0030705'}
35143601,NOACs,
35143601,stroke,{'C0038454'}
35143601,compare,
35143601,outcomes,
35143601,patients,{'C0030705'}
35143601,long-term anticoagulants,
35143601,retrospective cohort study,{'C2985505'}
35143601,patients,{'C0030705'}
35143601,acute ischemic stroke,
35143601,NOACs,
35143601,anticoagulants,{'C0003280'}
35143601,stroke,{'C0038454'}
35143601,treated with,{'C1522326'}
35143601,intravenous alteplase,
35143601,symptom onset,
35143601,US,"{'C0041703', 'C0041618', 'C0815353', 'C3889164'}"
35143601,hospitals,{'C0019994'}
35143601,participating,
35143601,Get With,
35143601,Guidelines-Stroke program,
35143601,complementary data,
35143601,Real-world,
35143601,Stroke registry,
35143601,Prestroke,
35143601,treatment,"{'C0087111', 'C3887704', 'C0039798'}"
35143601,NOACs,
35143601,days,{'C0439228'}
35143601,alteplase,{'C0032143'}
35143601,treatment,"{'C0087111', 'C3887704', 'C0039798'}"
35143601,primary outcome,
35143601,symptomatic,{'C0231220'}
35143601,intracranial hemorrhage,{'C0151699'}
35143601,hours,{'C0439227'}
35143601,intravenous alteplase,
35143601,safety,{'C0036043'}
35143601,outcomes,
35143601,inpatient,{'C0021562'}
35143601,mortality,"{'C0026566', 'C0026565'}"
35143601,secondary,"{'C0027627', 'C0175668', 'C1522484'}"
35143601,assessed,
35143601,hospital discharge,{'C0586003'}
35143601,proportion,
35143601,patients,{'C0030705'}
35143601,patients,{'C0030705'}
35143601,treated with,{'C1522326'}
35143601,intravenous alteplase,
35143601,median age,
35143601,IQR,
