Text,Keywords
"We devised a simplified nerve-sparing radical hysterectomy that is simpler than commonly used procedures.
We retrospectively examined 16 cases of classical non-nerve-sparing radical hysterectomy (non-nerve-sparing group) and 16 cases of simplified nerve-sparing radical hysterectomy (nerve-sparing group) performed between 2019 and 2020. We examined and compared the duration of surgery, blood loss, perioperative complications, postoperative urinary function (presence or absence of urinary sensation, number of days with residual urine measurement, and frequency and duration of oral sustained release urapidil capsules and self-catheterization), and short-term prognosis between the two groups.
Compared to conventional non-nerve-sparing radical hysterectomy, the duration of surgery for nerve-sparing radical hysterectomy was significantly shorter (407 [339-555] min vs. 212 [180-356] min; p < 0.001), and blood loss was significantly less. Compared to the nerve-sparing group, the non-nerve-sparing group had more cases of oral urapidil use and a higher frequency of clean intermittent catheterization. Clean intermittent catheterization was required in two cases in the nerve-sparing group; however, it was withdrawn at 180 and 240 days. Conversely, clean intermittent catheterization was still required in three cases in the non-nerve-sparing group. There were no statistically significant differences in progression-free survival and overall survival between the two groups.
The simple nerve-sparing radical hysterectomy resulted in shorter duration of surgery and less blood loss as well as in a clear improvement in the postoperative urinary status and short-term prognosis. This technique simplifies nerve-sparing radical hysterectomy, which is commonly thought to be complicated, making it easier to understand.","['oral sustained release urapidil capsules', 'sparing radical hysterectomy resulted', 'retrospectively examined 16 cases', 'oral urapidil use', 'statistically significant differences', 'residual urine measurement', 'sparing radical hysterectomy', 'sparing radical hysterectomy', 'sparing radical hysterectomy', 'sparing radical hysterectomy', 'sparing radical hysterectomy', 'sparing radical hysterectomy', 'clean intermittent catheterization', 'clean intermittent catheterization', 'clean intermittent catheterization', 'postoperative urinary status', 'postoperative urinary function', 'commonly used procedures', 'technique simplifies nerve', 'less blood loss', '16 cases', 'catheterization ),', 'blood loss', 'blood loss', 'urinary sensation', 'sparing group', 'sparing group', 'sparing group', 'sparing group', 'sparing group', 'sparing group', 'significantly less', 'commonly thought', 'two cases', 'three cases', 'two groups', 'two groups', 'term prognosis', 'term prognosis', 'significantly shorter', 'perioperative complications', 'overall survival', 'free survival', 'clear improvement', '001 ),', 'still required', 'min vs', 'higher frequency', '240 days', 'conventional non', 'classical non', 'simplified nerve', 'simplified nerve', 'simple nerve', 'shorter duration', 'examined', 'cases', 'required', 'min', 'frequency', 'days', 'non', 'non', 'non', 'nerve', 'nerve', 'nerve', 'nerve', 'nerve', 'nerve', 'nerve', 'nerve', 'nerve', 'duration', 'duration', 'duration', 'withdrawn', 'well', 'understand', 'surgery', 'surgery', 'surgery', 'simpler', 'short', 'short', 'self', 'progression', 'presence', 'performed', 'p', 'number', 'making', 'however', 'easier', 'devised', 'conversely', 'complicated', 'compared', 'compared', 'compared', 'absence', '555', '407', '356', '339', '212', '2020', '2019', '180', '180', '0']"
"Accelerated-phase (AP) myelofibrosis, currently defined by circulating blasts 10-19%, usually confers very high risk for progression and poor outcome. The outcome of hematopoietic stem cell transplantation for AP myelofibrosis has not been evaluated yet. We analyzed the outcome of 349 clinically and genetically annotated patients with primary or secondary myelofibrosis undergoing reduced intensity transplantation, of whom 35 had AP myelofibrosis. In comparison with chronic-phase (CP, <10% blasts), median leukocyte counts were higher, more patients had constitutional symptoms, and RAS mutations were detected more frequently in the AP group. After a median follow-up of 5.9 years, estimated 5-year overall survival was 65% (95% confidence interval, 49-81%) versus 64% (95% confidence interval, 59-69%) for the CP group (P=0.91), and median overall survival was not reached. In terms of relapse-free survival, estimated 5-year outcome for the AP group was 49% (95% confidence interval, 32-67%) versus 55% (95% confidence interval, 50-61%) for the CP group (P=0.65). Estimated 5-year non-relapse mortality was 20% (95% CI, 8-33%) for the AP group versus 30% (95% confidence interval, 24-35%; P=0.25) for the CP group. In terms of relapse, 5-year incidence was 30% (95% confidence interval, 14-46%) for the AP group versus 15% (95% confidence interval, 11-19%) for the CP group (P=0.02). Results were confirmed in multivariable analysis and propensity score matching. Increase in circulating blasts was associated with increased risk for relapse, showing strongest increase in risk for ≥10% blasts. In conclusion, reduced intensity transplantation showed excellent survival but higher relapse for AP myelofibrosis.","['reduced intensity transplantation showed excellent survival', 'secondary myelofibrosis undergoing reduced intensity transplantation', 'blasts ), median leukocyte counts', 'hematopoietic stem cell transplantation', '19 %, usually confers', '81 %) versus 64', '67 %) versus 55', 'ap group versus 15', 'ap group versus 30', 'median overall survival', 'propensity score matching', 'year overall survival', 'showing strongest increase', 'genetically annotated patients', 'circulating blasts 10', '35 %; p', '19 %)', 'free survival', '91 ),', 'median follow', 'circulating blasts', 'ap myelofibrosis', 'ap myelofibrosis', 'ap myelofibrosis', 'ap group', 'ap group', '69 %)', '61 %)', '46 %)', '33 %)', 'cp group', 'cp group', 'cp group', 'cp group', 'year non', 'year incidence', '≥ 10', 'ras mutations', 'multivariable analysis', 'evaluated yet', 'currently defined', 'constitutional symptoms', 'confidence interval', 'confidence interval', 'confidence interval', 'confidence interval', 'confidence interval', 'confidence interval', 'confidence interval', '9 years', '349 clinically', '02 ).', 'year outcome', 'increased risk', 'high risk', 'estimated 5', 'estimated 5', 'estimated 5', 'poor outcome', '65 ).', 'relapse mortality', 'higher relapse', 'blasts', 'myelofibrosis', '30', 'ap', 'patients', 'increase', '35', '10', 'cp', 'risk', '5', '5', 'p', 'p', 'p', 'outcome', 'outcome', 'higher', '65', 'relapse', 'relapse', 'relapse', 'terms', 'terms', 'results', 'reached', 'progression', 'primary', 'phase', 'phase', 'frequently', 'detected', 'confirmed', 'conclusion', 'comparison', 'ci', 'chronic', 'associated', 'analyzed', 'accelerated', '95', '95', '95', '95', '95', '95', '95', '95', '8', '59', '50', '49', '49', '32', '25', '24', '20', '14', '11', '0', '0', '0', '0']"
"Laparoscopic/robotic distal gastrectomy (LDG/RDG) as a treatment for early gastric cancer has become increasingly and widely accepted for its minimal invasiveness and proportionate outcomes. Over the years, in addition to the LDG/RDG technique and the lymphadenectomy and gastrectomy procedures, various reconstruction methods have been developed and further improved upon. In particular, the number of minimally invasive intracorporeal anastomosis reconstruction techniques has been increasing.
The medical records of 445 patients with gastric cancer who underwent reconstruction following LDG/RDG via either trapezoidal-shaped gastroduodenostomy (TAPESTRY; n=126) or delta-shaped anastomosis (DSA; n=319) at our hospital between April 2012 and May 2021 were retrospectively reviewed. Short-term surgical outcomes, including the operation time, blood loss, length of hospital stay, and complications, were compared between the 2 groups. Anastomosis-related complications, namely leakage, bleeding, stricture, and delayed gastric emptying, were monitored and graded using the Clavien-Dindo classification.
All operations were either performed or supervised by qualified surgeons. Patients' characteristics in the TAPESTRY group and the DSA group were biased in terms of the surgical approach, but they were well-balanced after propensity score matching. Overall anastomosis-related complications (Clavien-Dindo grade II or above) within 30 days after surgery in the TAPESTRY group were comparable with those in the DSA group, either all patients (1.5% vs. 5.0%, P=0.115) or after propensity score-matching analysis (2.1% vs. 6.5%, P=0.134). There were no records of reoperation or mortality during hospitalization in either group.
TAPESTRY was performed safely, with a low rate of anastomosis-related complications. These findings suggest that trapezoidal-shaped gastroduodenostomy could be a feasible option for reconstruction in patients undergoing LDG/RDG.","['minimally invasive intracorporeal anastomosis reconstruction techniques', 'underwent reconstruction following ldg', 'rdg via either trapezoidal', 'various reconstruction methods', 'within 30 days', 'delayed gastric emptying', 'robotic distal gastrectomy', 'dindo grade ii', 'early gastric cancer', 'term surgical outcomes', 'shaped gastroduodenostomy could', '5 %, p', '0 %, p', 'propensity score matching', 'patients undergoing ldg', 'gastric cancer', 'propensity score', 'shaped gastroduodenostomy', 'shaped anastomosis', 'surgical approach', 'proportionate outcomes', 'matching analysis', 'gastrectomy procedures', 'dindo classification', 'overall anastomosis', 'either performed', 'either group', 'widely accepted', 'retrospectively reviewed', 'rdg technique', 'qualified surgeons', 'performed safely', 'operation time', 'namely leakage', 'minimal invasiveness', 'may 2021', 'low rate', 'improved upon', 'graded using', 'findings suggest', 'feasible option', 'blood loss', 'become increasingly', 'april 2012', '134 ).', 'related complications', 'related complications', 'related complications', '445 patients', 'dsa group', 'dsa group', 'tapestry group', 'tapestry group', 'reconstruction', 'medical records', 'hospital stay', '2 groups', 'trapezoidal', 'anastomosis', 'anastomosis', 'ldg', 'ldg', 'either', 'rdg', 'rdg', 'patients', 'patients', 'complications', 'dsa', '5', '5', '0', '0', 'tapestry', 'tapestry', 'records', 'hospital', '2', 'years', 'well', 'vs', 'vs', 'treatment', 'terms', 'surgery', 'supervised', 'stricture', 'short', 'reoperation', 'particular', 'operations', 'number', 'n', 'n', 'mortality', 'monitored', 'lymphadenectomy', 'length', 'laparoscopic', 'increasing', 'including', 'hospitalization', 'developed', 'delta', 'compared', 'comparable', 'clavien', 'clavien', 'characteristics', 'bleeding', 'biased', 'balanced', 'addition', '6', '319', '126', '115', '1', '1']"
"Parkinson disease (PD) is the second leading neurodegenerative disease worldwide. Important advances in monitoring and treatment have been made in recent years. This article reviews literature on utility of smartphone applications in monitoring PD symptoms that may ultimately facilitate improved patient care, and on movement modulation as a potential therapeutic.
Novel mobile phone applications can provide one-time and/or continuous data to monitor PD motor symptoms in person or remotely, that may support precise therapeutic adjustments and management decisions. Apps have also been developed for medication management and treatment.
Smartphone applications provide a wide array of platforms allowing for meaningful short-term and long-term data collection and are also being tested for intervention. However, the variability of the applications and the need to translate complicated sensor data may hinder immediate clinical applicability. Future studies should involve stake-holders early in the design process to promote usability and streamline the interface between patients, clinicians, and PD apps.","['translate complicated sensor data may hinder immediate clinical applicability', 'may ultimately facilitate improved patient care', 'may support precise therapeutic adjustments', 'second leading neurodegenerative disease worldwide', 'novel mobile phone applications', 'monitor pd motor symptoms', 'term data collection', 'article reviews literature', 'monitoring pd symptoms', 'smartphone applications provide', 'continuous data', 'potential therapeutic', 'parkinson disease', 'smartphone applications', 'provide one', 'wide array', 'recent years', 'promote usability', 'platforms allowing', 'pd apps', 'movement modulation', 'medication management', 'meaningful short', 'management decisions', 'involve stake', 'important advances', 'holders early', 'future studies', 'design process', 'pd', 'applications', 'term', 'monitoring', 'apps', 'variability', 'utility', 'treatment', 'treatment', 'time', 'tested', 'streamline', 'remotely', 'person', 'patients', 'need', 'made', 'long', 'intervention', 'interface', 'however', 'developed', 'clinicians', 'also', 'also']"
"A better endometrial cancer (EC) prognosis in patients with coexistent adenomyosis has been hypothesized based on a different prevalence of favorable EC histological prognostic factors. However, pooled risk of EC unfavorable histological prognostic factors in patients with adenomyosis has never been calculated.
We aimed to assess the risk of EC unfavorable histological prognostic factors in patients with adenomyosis.
All studies with data about histological prognostic factors of EC in patients with and without adenomyosis were included. Relative risk for each unfavorable histological prognostic factor of EC, such as nonendometrioid histotype, FIGO grade 3, FIGO stage II-IV, lymphovascular space invasion (LVSI), and deep myometrial invasion, was calculated in patients with adenomyosis compared to patients without adenomyosis.
Seven studies with 4,439 patients were included in the quantitative analysis. EC patients with adenomyosis showed a pooled RR of 0.77 (p = 0.05) for nonendometrioid histotype, 0.55 (p < 0.00001) for FIGO grade 3, 0.60 (p = 0.005) for FIGO stage II-IV, 0.75 (p = 0.004) for LVSI, and 0.65 (p = 0.001) for deep myometrial invasion.
EC patients with adenomyosis have a significantly decreased risk for unfavorable histological prognostic factors of EC compared to EC patients without adenomyosis. Such findings might explain the supposed better EC prognosis in patients with adenomyosis.","['favorable ec histological prognostic factors', 'ec unfavorable histological prognostic factors', 'ec unfavorable histological prognostic factors', 'unfavorable histological prognostic factors', 'unfavorable histological prognostic factor', 'histological prognostic factors', 'supposed better ec prognosis', 'ec patients without adenomyosis', 'better endometrial cancer', 'lymphovascular space invasion', 'findings might explain', 'figo stage ii', 'figo stage ii', 'figo grade 3', 'figo grade 3', 'deep myometrial invasion', 'deep myometrial invasion', 'significantly decreased risk', 'patients without adenomyosis', 'ec compared', 'without adenomyosis', 'ec patients', 'ec patients', 'relative risk', 'quantitative analysis', 'pooled rr', 'pooled risk', 'nonendometrioid histotype', 'nonendometrioid histotype', 'hypothesized based', 'different prevalence', 'coexistent adenomyosis', 'adenomyosis showed', 'adenomyosis compared', '439 patients', 'seven studies', 'lvsi ),', 'ec', 'ec', 'ec', 'prognosis', 'risk', 'adenomyosis', 'adenomyosis', 'adenomyosis', 'adenomyosis', 'patients', 'patients', 'patients', 'patients', 'patients', 'patients', 'studies', 'lvsi', 'p', 'p', 'p', 'p', 'p', 'never', 'iv', 'iv', 'included', 'included', 'however', 'data', 'calculated', 'calculated', 'assess', 'aimed', '77', '75', '65', '60', '55', '4', '05', '005', '004', '001', '00001', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"Pheochromocytoma and paraganglioma are rare neoplasms that fall within the category of neuroendocrine tumors. In the last decade, their diagnostic algorithm has been modified to include the evaluation of molecular pathways, genotype and biochemical phenotype, in order to correctly interpret anatomical and functional imaging results and tailor the best therapeutic choices to patients. More specifically, the identification of germline mutations has led to a three-way cluster classification: pseudo-hypoxic cluster, cluster of kinase receptor signaling and protein translation pathways, and cluster of Wnt-altered pathway. In this context, functional imaging gained a crucial role in the management of these patients in agreement with the ever-growing concept of personalized medicine. In this paper we provide an overview of three specific molecular pathways targeted by positron-emitting tracers to image pheochromocytomas and paragangliomas: catecholamine metabolism, somatostatin receptors and glucose uptake. Finally, we recommend different flow charts for use in the selection of tracers for specific clinical scenarios, based on sporadic/inherited tumor and known/unknown mutation status.","['three specific molecular pathways targeted', 'recommend different flow charts', 'specific clinical scenarios', 'protein translation pathways', 'unknown mutation status', 'kinase receptor signaling', 'functional imaging results', 'functional imaging gained', 'correctly interpret anatomical', 'best therapeutic choices', 'way cluster classification', 'molecular pathways', 'somatostatin receptors', 'rare neoplasms', 'personalized medicine', 'neuroendocrine tumors', 'last decade', 'inherited tumor', 'image pheochromocytomas', 'growing concept', 'glucose uptake', 'germline mutations', 'fall within', 'diagnostic algorithm', 'crucial role', 'catecholamine metabolism', 'biochemical phenotype', 'altered pathway', 'hypoxic cluster', 'emitting tracers', 'three', 'cluster', 'cluster', 'tracers', 'wnt', 'use', 'tailor', 'sporadic', 'specifically', 'selection', 'pseudo', 'provide', 'positron', 'pheochromocytoma', 'patients', 'patients', 'paragangliomas', 'paraganglioma', 'paper', 'overview', 'order', 'modified', 'management', 'led', 'known', 'include', 'identification', 'genotype', 'finally', 'ever', 'evaluation', 'context', 'category', 'based', 'agreement']"
"Admission of metastatic cancer patients to the intensive care unit (ICU) poses medical and ethical challenges in the absence of reliable prognostic tools to guide decision-making.
We retrospectively analyzed the medical charts of 129 consecutive patients with metastatic solid tumors admitted to the ICU between January and September 2014 and identified prognostic factors (PFs) using Cox models.
The mean patient age at ICU admission was 58.9 years (range, 25-81 years; males, 51%). Performance status (PS) was 0-1 and 2-3 in 61% and 39% of the patients, respectively. The most prevalent cancers were lung cancer (20%), sarcoma (17%), and breast cancer (16%). ICU admission was attributable to the cancer itself (53%), cancer treatment toxicity (43%), and comorbidities (37%). The median overall survival (OS) after ICU admission was 2.6 months; 15% of the patients died during the ICU stay. Poor PFs for OS were PS >1 before ICU admission (p = 0.007) and ICU admission for the cancer itself (p < 10-3). After ICU discharge, 58% and 42% of the patients received systemic treatment within 12 months and showed good PS recovery, respectively. Multiple organ failure and a multidisciplinary decision to limit therapeutic efforts were poor PFs for reinitiation of systemic treatment (p = 0.2 and 0.006, respectively), and the latter was also a poor PF for PS recovery (p = 0.004).
In the ICU, the OS of adult patients with solid tumors was similar to that of the noncancer population. For ICU admissions related to the cancer itself, the prognosis is poor.","['patients received systemic treatment within 12 months', '53 %), cancer treatment toxicity', 'metastatic solid tumors admitted', 'showed good ps recovery', 'systemic treatment', 'using cox models', 'reliable prognostic tools', 'multiple organ failure', 'median overall survival', 'mean patient age', 'limit therapeutic efforts', 'intensive care unit', 'identified prognostic factors', '20 %), sarcoma', '129 consecutive patients', 'metastatic cancer patients', 'icu admissions related', '6 months', 'solid tumors', 'ps recovery', 'patients died', 'adult patients', '43 %),', '17 %),', 'lung cancer', 'breast cancer', 'september 2014', 'retrospectively analyzed', 'prevalent cancers', 'poses medical', 'performance status', 'noncancer population', 'multidisciplinary decision', 'medical charts', 'guide decision', 'ethical challenges', '9 years', '81 years', '51 %).', '37 %).', '16 %).', '004 ).', 'icu stay', 'icu discharge', 'poor pf', 'icu admission', 'icu admission', 'icu admission', 'icu admission', 'icu admission', '3 ).', 'poor pfs', 'poor pfs', 'respectively ),', 'patients', 'cancer', 'cancer', 'cancer', 'ps', 'ps', 'admission', 'icu', 'icu', 'icu', 'poor', 'pfs', '3', 'respectively', 'respectively', 'similar', 'reinitiation', 'range', 'prognosis', 'p', 'p', 'p', 'p', 'os', 'os', 'os', 'males', 'making', 'latter', 'january', 'comorbidities', 'attributable', 'also', 'absence', '61', '58', '58', '42', '39', '25', '2', '2', '2', '15', '10', '1', '1', '007', '006', '0', '0', '0', '0', '0']"
"Pathophysiology of medication-related osteonecrosis of the jaw (MRONJ) is still unclear and disease development is associated with adverse reaction of bisphosphonates and denosumab, and Actinomyces spp. as well. In this study we evaluated the abundance of Actinomyces spp. in breast cancer patients undergoing chemotherapy compared to healthy controls.
Oropharyngeal samples were collected from treatment naive early-stage breast cancer patients, who were scheduled for standard of care therapy (eight samples throughout chemotherapy, one prior to radiotherapy and one after a year of start), as well as from healthy controls at matched timepoints. We quantified Actinomyces spp. in the samples with a highly sensitive and specific qPCR.
Twenty-one patients and 16 healthy subjects were enrolled. 48% of patients suffered from ER-positive/PR-positive or -negative/HER2-negative disease, 38% were HER2-positive and 14% were triple-negative. Comparison of Actinomyces spp. loads in cancer patients and healthy controls did not reveal significant difference. Fluctuations on bacterial quantity was observed in both groups over time. Tumor receptor status or different chemotherapy schemes of patients were not correlated with a particular pattern on abundance of Actinomyces spp.
We suggest that Actinomyces spp. are not the initiative factor in MRONJ development. These bacteria are not altered in abundance during chemotherapy, but they behave opportunistic when there is a bone disruption in the oropharynx in the first place caused by antiresorptive drugs or dental trauma and proliferate in their new niche. Thus, Actinomyces spp. play a latter role in MRONJ development, rather than a primary causative one.","['breast cancer patients undergoing chemotherapy compared', 'stage breast cancer patients', 'eight samples throughout chemotherapy', 'different chemotherapy schemes', 'tumor receptor status', 'treatment naive early', 'reveal significant difference', 'first place caused', '16 healthy subjects', 'primary causative one', 'quantified actinomyces spp', 'cancer patients', 'patients suffered', 'one patients', 'oropharyngeal samples', 'actinomyces spp', 'actinomyces spp', 'actinomyces spp', 'actinomyces spp', 'actinomyces spp', 'actinomyces spp', 'healthy controls', 'healthy controls', 'healthy controls', 'still unclear', 'start ),', 'specific qpcr', 'related osteonecrosis', 'particular pattern', 'one prior', 'new niche', 'matched timepoints', 'latter role', 'initiative factor', 'highly sensitive', 'disease development', 'dental trauma', 'care therapy', 'bone disruption', 'behave opportunistic', 'bacterial quantity', 'antiresorptive drugs', 'adverse reaction', 'mronj development', 'mronj development', 'chemotherapy', 'negative disease', 'patients', 'samples', 'one', 'mronj', 'negative', 'negative', 'year', 'well', 'well', 'twenty', 'triple', 'time', 'thus', 'suggest', 'study', 'standard', 'scheduled', 'rather', 'radiotherapy', 'proliferate', 'pr', 'positive', 'positive', 'positive', 'play', 'pathophysiology', 'oropharynx', 'observed', 'medication', 'loads', 'jaw', 'her2', 'her2', 'groups', 'fluctuations', 'evaluated', 'er', 'enrolled', 'denosumab', 'correlated', 'comparison', 'collected', 'bisphosphonates', 'bacteria', 'associated', 'altered', 'abundance', 'abundance', 'abundance', '48', '38', '14']"
"In this study, we investigated the possibility of predicting expression levels of programmed death-ligand 1 (PD-L1) using radiomic features of intratumoral and peritumoral tumors on computed tomography (CT) images. We retrospectively analyzed 161 patients with non-small cell lung cancer. We extracted radiomics features for intratumoral and peritumoral regions on CT images. The null importance, least absolute shrinkage, and selection operator model were used to select the optimized feature subset to build the prediction models for the PD-L1 expression level. LightGBM with five-fold cross-validation was used to construct the prediction model and evaluate the receiver operating characteristics. The corresponding area under the curve (AUC) was calculated for the training and testing cohorts. The proportion of ambiguously clustered pairs was calculated based on consensus clustering to evaluate the validity of the selected features. In addition, Radscore was calculated for the training and test cohorts. For expression level of PD-L1 above 1%, prediction models that included radiomic features from the intratumoral region and a combination of radiomic features from intratumoral and peritumoral regions yielded an AUC of 0.83 and 0.87 and 0.64 and 0.74 in the training and test cohorts, respectively. In contrast, the models above 50% prediction yielded an AUC of 0.80, 0.97, and 0.74, 0.83, respectively. The selected features were divided into two subgroups based on PD-L1 expression levels ≥ 50% or ≥ 1%. Radscore was statistically higher for subgroup one than subgroup two when radiomic features for intratumoral and peritumoral regions were combined. We constructed a predictive model for PD-L1 expression level using CT images. The model using a combination of intratumoral and peritumoral radiomic features had a higher accuracy than the model with only intratumoral radiomic features.","['l1 expression level using ct images', 'l1 expression levels ≥ 50', 'small cell lung cancer', 'retrospectively analyzed 161 patients', '1 %, prediction models', 'predicting expression levels', 'l1 expression level', '≥ 1 %.', 'receiver operating characteristics', 'optimized feature subset', 'least absolute shrinkage', 'ambiguously clustered pairs', 'using radiomic features', 'extracted radiomics features', 'included radiomic features', 'two subgroups based', 'selection operator model', 'peritumoral radiomic features', 'expression level', 'peritumoral regions yielded', 'intratumoral radiomic features', 'ct images', 'model using', 'radiomic features', 'radiomic features', 'prediction yielded', 'ligand 1', 'prediction models', 'peritumoral regions', 'peritumoral regions', 'selected features', 'selected features', 'subgroup two', 'prediction model', 'peritumoral tumors', 'testing cohorts', 'test cohorts', 'test cohorts', 'subgroup one', 'statistically higher', 'programmed death', 'predictive model', 'null importance', 'higher accuracy', 'fold cross', 'corresponding area', 'consensus clustering', 'computed tomography', 'calculated based', 'intratumoral region', 'l1', 'l1', 'images', 'ct', '50', 'models', 'model', 'intratumoral', 'intratumoral', 'intratumoral', 'intratumoral', 'intratumoral', 'calculated', 'calculated', 'validity', 'validation', 'used', 'used', 'training', 'training', 'training', 'study', 'select', 'respectively', 'respectively', 'radscore', 'radscore', 'proportion', 'possibility', 'pd', 'pd', 'pd', 'pd', 'pd', 'non', 'lightgbm', 'investigated', 'five', 'evaluate', 'evaluate', 'divided', 'curve', 'contrast', 'constructed', 'construct', 'combined', 'combination', 'combination', 'build', 'auc', 'auc', 'auc', 'addition', '97', '87', '83', '83', '80', '74', '74', '64', '0', '0', '0', '0', '0', '0', '0', '0']"
,[]
