Text,Keywords
"In earlier work, we explored the SAR for the C3 side chain pharmacophore in the hexahydrocannabinol template represented by the drug nabilone, which resulted in the development of AM2389. In an effort for further optimization, we have merged features of nabilone and AM2389 and explored the C3 side chain with varying chain lengths and terminal substitutions. Of the compounds described here, a nabilone analog, AM8936, with the C6'-cyano-substituted side chain, was identified as the most successful analog capable of serving as a potential candidate for further development and a valuable tool for further in vivo studies. AM8936 behaved as a balanced and potent CB1 agonist in functional assays and was a potent and efficacious CB1 agonist in vivo. Our SAR studies are highlighted with the docking of AM8936 on the crystal structure of the hCB1 receptor.","['c3 side chain pharmacophore', 'c3 side chain', 'substituted side chain', 'varying chain lengths', 'hexahydrocannabinol template represented', 'efficacious cb1 agonist', ""c6 '- cyano"", 'successful analog capable', 'potent cb1 agonist', 'nabilone analog', 'valuable tool', 'terminal substitutions', 'potential candidate', 'merged features', 'hcb1 receptor', 'functional assays', 'earlier work', 'crystal structure', 'compounds described', 'drug nabilone', 'vivo studies', 'sar studies', 'am8936 behaved', 'potent', 'nabilone', 'vivo', 'sar', 'am8936', 'am8936', 'serving', 'resulted', 'optimization', 'identified', 'highlighted', 'explored', 'explored', 'effort', 'docking', 'development', 'development', 'balanced', 'am2389', 'am2389']"
Fullerenes have attracted considerable attention for their possible use in human therapy. Pure C,"['attracted considerable attention', 'pure c', 'possible use', 'human therapy', 'fullerenes']"
"To improve the visualization and potency of anticancer agents, the diagnosis and treatment integration bi-functional molecules were constructed based on active candidate BD7, approved drug Linifanib, and monoclonal antibody Bevacizumab. Commercial available Rhodamine B was inducted to realize imaging-aided diagnosis and target efficiency monitoring for cancer cells. In order to maintain the anticancer activity of drugs, disulfide bond was incorporated as releasable group based on tumor microenviroment. After design, synthesis and structure characterization of title compounds, various biological evaluation and cancer cell imaging analysis were carried out. The results indicated that these title diagnosis and treatment integration bi-functional molecules exhibited comparable potency with that of corresponding parent drug. Meanwhile, these agents afforded good performance in cell imaging and could be used to differentiate cancer cells from normal ovarian cells in real time. Further optimization of these bi-functional molecules is ongoing to improve the potency and precision and will be reported in due course. Our findings are expected to achieve efficient screening and real-time prognostic monitoring under the premise of high anti-tumor activity for clinical application.","['functional molecules exhibited comparable potency', 'commercial available rhodamine b', 'agents afforded good performance', 'cancer cell imaging analysis', 'various biological evaluation', 'target efficiency monitoring', 'monoclonal antibody bevacizumab', 'corresponding parent drug', 'approved drug linifanib', 'active candidate bd7', 'achieve efficient screening', 'normal ovarian cells', 'differentiate cancer cells', 'time prognostic monitoring', 'releasable group based', 'treatment integration bi', 'treatment integration bi', 'functional molecules', 'functional molecules', 'cell imaging', 'cancer cells', 'anticancer agents', 'realize imaging', 'constructed based', 'tumor microenviroment', 'tumor activity', 'title compounds', 'structure characterization', 'results indicated', 'real time', 'high anti', 'due course', 'disulfide bond', 'clinical application', 'anticancer activity', 'title diagnosis', 'aided diagnosis', 'potency', 'potency', 'bi', 'diagnosis', 'real', 'visualization', 'used', 'synthesis', 'reported', 'premise', 'precision', 'order', 'optimization', 'ongoing', 'meanwhile', 'maintain', 'inducted', 'incorporated', 'improve', 'improve', 'findings', 'expected', 'drugs', 'design', 'could', 'carried']"
"DDR (DNA damage response) defects in cells drive tumor formation by promoting DNA mutations, which also provides cancer-specific vulnerabilities that can be targeted by synthetic lethality-based therapies. Until now, PARP inhibitors like olaparib are the first successful case of utilizing synthetic lethality-based therapy to treat cancers with DNA-repairing deficiency (e.g. BRCA1 or BRCA2 mutation), which has fueled the search for more targetable components in the DDR signaling pathway by exploiting synthetic lethality, including but not limited to DNA-PK, ATR, ATM, CHK1, and WEE1. After years of efforts, numerous DDR kinase inhibitors have been discovered. Some of them are being investigated in clinical trials and have shown promising results for cancer therapy. In this review, we summarize the latest advancement in the development of DDR kinase inhibitors including those in preclinical stages and clinical trials, the crystal structures of DDR enzymes, and binding modes of inhibitors with target proteins. The biological functions involving different genes and proteins (ATR, DNA-PK, ATM, PARP, CHK1, and WEE1) are also elucidated.","['biological functions involving different genes', 'cells drive tumor formation', 'numerous ddr kinase inhibitors', 'parp inhibitors like olaparib', 'ddr kinase inhibitors including', 'shown promising results', 'first successful case', 'brca2 mutation ),', 'ddr signaling pathway', 'utilizing synthetic lethality', 'exploiting synthetic lethality', 'also provides cancer', 'promoting dna mutations', 'dna damage response', 'synthetic lethality', 'ddr enzymes', 'cancer therapy', 'also elucidated', 'treat cancers', 'targetable components', 'specific vulnerabilities', 'repairing deficiency', 'preclinical stages', 'latest advancement', 'crystal structures', 'clinical trials', 'clinical trials', 'binding modes', 'based therapy', 'based therapies', 'target proteins', 'inhibitors', 'ddr', 'parp', 'including', 'dna', 'dna', 'dna', 'proteins', 'years', 'wee1', 'wee1', 'targeted', 'summarize', 'search', 'review', 'pk', 'pk', 'limited', 'investigated', 'g', 'fueled', 'efforts', 'e', 'discovered', 'development', 'defects', 'chk1', 'chk1', 'brca1', 'atr', 'atr', 'atm', 'atm']"
"C-mesenchymal-epithelia transition factor (c-Met) is highly expressed in various solid tumors such as gastric cancer, liver cancer, and lung cancer, playing a pivotal role in the growth, maintenance, and development of different tumor cells. In this study, three small-molecule fluorescent probes (5, 11, 16) targeting c-Met were developed, and their design strategies were also initially explored. In general, the fluorescence properties of the probes themselves could meet the imaging requirements, and they have shown sufficient inhibitory activities against c-Met, especially probe 16, reflecting the targeting and acceptance. Also, fluorescence polarization assays and flow cytometry analysis verified the binding between the probes and c-Met. Cell imaging confirmed that these probes could be used to label c-Met on living cells. It is of positive significance for the development of c-Met kinase inhibitors and tumor pathology research.","['shown sufficient inhibitory activities', 'flow cytometry analysis verified', 'various solid tumors', 'tumor pathology research', 'epithelia transition factor', 'fluorescence polarization assays', 'different tumor cells', 'cell imaging confirmed', 'especially probe 16', 'also initially explored', 'molecule fluorescent probes', 'met kinase inhibitors', 'living cells', 'imaging requirements', 'fluorescence properties', 'three small', 'positive significance', 'pivotal role', 'lung cancer', 'liver cancer', 'highly expressed', 'gastric cancer', 'design strategies', 'could meet', 'probes could', 'label c', 'targeting c', 'also', '16', 'probes', 'probes', 'targeting', 'met', 'met', 'met', 'met', 'met', 'c', 'c', 'c', 'c', 'c', 'used', 'study', 'reflecting', 'playing', 'mesenchymal', 'maintenance', 'growth', 'general', 'development', 'development', 'developed', 'binding', 'acceptance', '5', '11']"
"2-Azabicyclo[3.3.1]nonanes (morphans) with a (3,4-dichlorophenyl)acetyl group at 2-position and a pyrrolidino moiety at 8-position were designed as conformationally restricted analogs of piperidine-based KOR agonists. The synthesis started with 4-oxopiperidine-2-carboxylic acid comprising 13 reaction steps. At first the ketone 10 was transformed into diester 7 bearing a propionate side chain. Dieckmann condensation of diester 7 to afford bicyclic enolester 14 and subsequent Krapcho deethoxycarbonylation represent the key steps of the synthesis. The enantiomeric pyrrolidines (1S,5R,8R)-5a and (1R,5S,8S)-5a were separated by chiral HPLC. The eutomer (1S,5R,8R)-5a showed high KOR affinity (K","['8r )- 5a showed high kor affinity', 'carboxylic acid comprising 13 reaction steps', 'subsequent krapcho deethoxycarbonylation represent', 'afford bicyclic enolester 14', '8r )- 5a', '8s )- 5a', 'based kor agonists', 'propionate side chain', 'conformationally restricted analogs', 'diester 7 bearing', 'key steps', 'diester 7', 'pyrrolidino moiety', 'ketone 10', 'enantiomeric pyrrolidines', 'dieckmann condensation', 'chiral hplc', 'acetyl group', 'synthesis started', 'synthesis', 'transformed', 'separated', 'position', 'position', 'piperidine', 'oxopiperidine', 'nonanes', 'morphans', 'k', 'first', 'eutomer', 'dichlorophenyl', 'designed', 'azabicyclo', '8', '5s', '5r', '5r', '4', '4', '3', '3', '3', '2', '2', '2', '1s', '1s', '1r', '1']"
"Acute kidney injury (AKI) is associated with high morbidity and mortality. Cisplatin is a common chemotherapeutic, but its nephrotoxicity-driven AKI limits its clinical application. Currently, there are no specific and satisfactory therapies in the clinic for AKI. Inhibitors of hypoxia-inducible factor prolyl hydroxylase 2 (HIF-PHD2) or histone deacetylase (HDACs) had shown renoprotective effects against AKI in preclinical studies. This study aimed to develop a novel therapeutic to prevent AKI progression by targeting PHD2 and HDACs simultaneously. We designed and synthesized a series of PHD2/HDACs hybrid inhibitors. The initial drug activity screening identified a candidate compound 31c, which exhibited potent inhibitory activities against PHD2 and HDAC1/2/6. Cellular analyses further showed that 31c did not affect cisplatin's antitumor activity in cancer cells but strongly protected cisplatin-induced toxicity on HK-2 cells. In vivo studies with the cisplatin-induced AKI mouse model demonstrated that 31c remarkably alleviated kidney dysfunction with suppressed plasma BUN/SCr and increased EPO levels. The potent renoprotective effects of 31c on AKI were confirmed by significant improvements in pathological kidney conditions in the mouse model. These results suggest that the novel PHD2/HDACs hybrid inhibitor, 31c, has a clinical potential as the renoprotective agent for the treatment/prevention of cisplatin-induced AKI for various cancers.","['initial drug activity screening identified', 'inducible factor prolyl hydroxylase 2', '31c remarkably alleviated kidney dysfunction', 'induced aki mouse model demonstrated', 'exhibited potent inhibitory activities', 'pathological kidney conditions', 'acute kidney injury', 'potent renoprotective effects', 'suppressed plasma bun', 'increased epo levels', 'shown renoprotective effects', 'hdacs hybrid inhibitor', 'candidate compound 31c', 'prevent aki progression', 'driven aki limits', 'strongly protected cisplatin', 'hdacs hybrid inhibitors', 'mouse model', 'antitumor activity', 'induced aki', 'induced toxicity', 'renoprotective agent', '2 cells', 'hdacs simultaneously', 'vivo studies', 'various cancers', 'study aimed', 'significant improvements', 'satisfactory therapies', 'results suggest', 'preclinical studies', 'novel therapeutic', 'histone deacetylase', 'high morbidity', 'common chemotherapeutic', 'clinical potential', 'clinical application', 'cellular analyses', 'cancer cells', 'affect cisplatin', 'targeting phd2', 'novel phd2', '2', 'hdacs', '31c', '31c', '31c', 'aki', 'aki', 'aki', 'aki', 'inhibitors', 'cisplatin', 'cisplatin', 'cisplatin', 'phd2', 'phd2', 'phd2', 'treatment', 'synthesized', 'specific', 'showed', 'series', 'scr', 'prevention', 'nephrotoxicity', 'mortality', 'hypoxia', 'hk', 'hif', 'hdac1', 'develop', 'designed', 'currently', 'confirmed', 'clinic', 'associated', '6']"
"Based on multitarget-directed ligands approach, through two rounds of screening, a series of 2-aminoalkyl-6-(2-hydroxyphenyl)pyridazin-3(2H)-one derivatives were designed, synthesized and evaluated as innovative multifunctional agents against Alzheimer's disease. In vitro biological assays indicated that most of the hybrids were endowed with great AChE inhibitory activity, excellent antioxidant activity and moderate Aβ","['vitro biological assays indicated', '2h )- one derivatives', 'great ache inhibitory activity', 'excellent antioxidant activity', 'innovative multifunctional agents', 'directed ligands approach', '6 -( 2', 'two rounds', 'moderate aβ', '2', 'synthesized', 'series', 'screening', 'pyridazin', 'multitarget', 'hydroxyphenyl', 'hybrids', 'evaluated', 'endowed', 'disease', 'designed', 'based', 'aminoalkyl', 'alzheimer', '3']"
The development of σ,"['σ', 'development']"
"Tropomyosin receptor kinase (TRK) is an ideal target for treating cancers caused by the NTRK gene fusion. In this study, more than 60 2,4-diaminopyrimidine derivatives were prepared to understand the structure-activity relationship and confirm the rationality of the pharmacophore model reported previously. Among them, compound 19k was found to be a potent pan-TRK inhibitor that inhibits the proliferation of Km-12 cell lines. Additionally, compound 19k induced the apoptosis of Km-12 cells in a concentration-dependent manner. Western blot analysis revealed that compound 19k inhibited the phosphorylation of TRK to block downstream pathways. Compound 19k also possessed outstanding plasma stability and liver microsomal stability in vitro, with half-lives greater than 289.1 min and 145 min, respectively. Pharmacokinetic studies indicated that the oral bioavailability of compound 19k is 17.4%. These results demonstrate that compound 19k could serve as a novel lead compound for overcoming NTRK-fusion cancers.","['compound 19k also possessed outstanding plasma stability', 'western blot analysis revealed', 'pharmacophore model reported previously', 'compound 19k could serve', 'liver microsomal stability', 'compound 19k inhibited', 'compound 19k induced', 'novel lead compound', 'tropomyosin receptor kinase', 'pharmacokinetic studies indicated', 'block downstream pathways', 'treating cancers caused', '12 cell lines', 'ntrk gene fusion', 'compound 19k', 'compound 19k', 'fusion cancers', 'overcoming ntrk', '12 cells', 'results demonstrate', 'potent pan', 'oral bioavailability', 'lives greater', 'ideal target', 'diaminopyrimidine derivatives', 'dependent manner', 'activity relationship', '60 2', '145 min', '1 min', '4 %.', 'trk inhibitor', '4', 'trk', 'trk', 'vitro', 'understand', 'study', 'structure', 'respectively', 'rationality', 'proliferation', 'prepared', 'phosphorylation', 'km', 'km', 'inhibits', 'half', 'found', 'confirm', 'concentration', 'apoptosis', 'among', 'additionally', '289', '17']"
