pubmed_id,title,keywords,journal,abstract,conclusions,methods,results,copyrights,doi,publication_date,authors
35051750,Improved cyclobutyl nabilone analogs as potent CB1 receptor agonists.,"['CB1 receptor', 'Cannabinoids', 'Nabilone analogs', 'SAR studies']",European journal of medicinal chemistry,"In earlier work, we explored the SAR for the C3 side chain pharmacophore in the hexahydrocannabinol template represented by the drug nabilone, which resulted in the development of AM2389. In an effort for further optimization, we have merged features of nabilone and AM2389 and explored the C3 side chain with varying chain lengths and terminal substitutions. Of the compounds described here, a nabilone analog, AM8936, with the C6'-cyano-substituted side chain, was identified as the most successful analog capable of serving as a potential candidate for further development and a valuable tool for further in vivo studies. AM8936 behaved as a balanced and potent CB1 agonist in functional assays and was a potent and efficacious CB1 agonist in vivo. Our SAR studies are highlighted with the docking of AM8936 on the crystal structure of the hCB1 receptor.",,,,Copyright © 2021. Published by Elsevier Masson SAS.,10.1016/j.ejmech.2021.114027,2022-01-21,"[{'lastname': 'Papanastasiou', 'firstname': 'Ioannis P', 'initials': 'IP', 'affiliation': 'Division of Pharmaceutical Chemistry, Department of Pharmacy, School of Health Sciences, National and Kapodistrian University of Athens, Panepistimioupoli-Zografou, 157-84, Athens, Greece.'}, {'lastname': 'Georgiadis', 'firstname': 'Markos-Orestis', 'initials': 'MO', 'affiliation': 'Division of Pharmaceutical Chemistry, Department of Pharmacy, School of Health Sciences, National and Kapodistrian University of Athens, Panepistimioupoli-Zografou, 157-84, Athens, Greece; Center for Drug Discovery and Department of Pharmaceutical Sciences, Northeastern University, Boston, MA, 02115, USA.'}, {'lastname': 'Iliopoulos-Tsoutsouvas', 'firstname': 'Christos', 'initials': 'C', 'affiliation': 'Center for Drug Discovery and Department of Pharmaceutical Sciences, Northeastern University, Boston, MA, 02115, USA.'}, {'lastname': 'Paronis', 'firstname': 'Carol A', 'initials': 'CA', 'affiliation': 'Center for Drug Discovery and Department of Pharmaceutical Sciences, Northeastern University, Boston, MA, 02115, USA.'}, {'lastname': 'Brust', 'firstname': 'Christina A', 'initials': 'CA', 'affiliation': 'Skaggs Graduate School of Chemical and Biological Science and Department of Molecular Medicine, Scripps Florida, Jupiter, FL, 33458, USA.'}, {'lastname': 'Tran', 'firstname': 'Ngan K', 'initials': 'NK', 'affiliation': 'Center for Drug Discovery and Department of Pharmaceutical Sciences, Northeastern University, Boston, MA, 02115, USA.'}, {'lastname': 'Ji', 'firstname': 'Lipin', 'initials': 'L', 'affiliation': 'Center for Drug Discovery and Department of Pharmaceutical Sciences, Northeastern University, Boston, MA, 02115, USA.'}, {'lastname': 'Ma', 'firstname': 'Xiaoyu', 'initials': 'X', 'affiliation': 'Center for Drug Discovery and Department of Pharmaceutical Sciences, Northeastern University, Boston, MA, 02115, USA.'}, {'lastname': 'Wood', 'firstname': 'JodiAnne T', 'initials': 'JT', 'affiliation': 'Center for Drug Discovery and Department of Pharmaceutical Sciences, Northeastern University, Boston, MA, 02115, USA.'}, {'lastname': 'Zvonok', 'firstname': 'Nikolai', 'initials': 'N', 'affiliation': 'Center for Drug Discovery and Department of Pharmaceutical Sciences, Northeastern University, Boston, MA, 02115, USA.'}, {'lastname': 'Tong', 'firstname': 'Fei', 'initials': 'F', 'affiliation': 'Center for Drug Discovery and Department of Pharmaceutical Sciences, Northeastern University, Boston, MA, 02115, USA.'}, {'lastname': 'Bohn', 'firstname': 'Laura M', 'initials': 'LM', 'affiliation': 'Department of Molecular Medicine, Scripps Florida, Jupiter, FL, USA.'}, {'lastname': 'Nikas', 'firstname': 'Spyros P', 'initials': 'SP', 'affiliation': 'Center for Drug Discovery and Department of Pharmaceutical Sciences, Northeastern University, Boston, MA, 02115, USA.'}, {'lastname': 'Makriyannis', 'firstname': 'Alexandros', 'initials': 'A', 'affiliation': 'Center for Drug Discovery and Department of Pharmaceutical Sciences, Northeastern University, Boston, MA, 02115, USA; Center for Drug Discovery and Department of Chemistry and Chemical Biology, Northeastern University, Boston, MA, 02115, USA. Electronic address: a.makriyannis@northeastern.edu.'}]"
35051749,Synthesis and biological application of glyco- and peptide derivatives of fullerene C,"['Biological application', 'C(60)', 'Carbohydrate', 'Fullerene', 'Peptide', 'Synthesis']",European journal of medicinal chemistry,Fullerenes have attracted considerable attention for their possible use in human therapy. Pure C,,,,Copyright © 2022 Elsevier Masson SAS. All rights reserved.,10.1016/j.ejmech.2022.114104,2022-01-21,"[{'lastname': 'Tanzi', 'firstname': 'Lisa', 'initials': 'L', 'affiliation': 'Department of Drug Sciences, University of Pavia, Viale Taramelli 12, I-27100, Pavia, Italy; Sorbonne Université, CNRS, Institut Parisien de Chimie Moléculaire, UMR 8232, 4 Place Jussieu, 75005, Paris, France. Electronic address: lisa.tanzi01@universitadipavia.it.'}, {'lastname': 'Terreni', 'firstname': 'Marco', 'initials': 'M', 'affiliation': 'Department of Drug Sciences, University of Pavia, Viale Taramelli 12, I-27100, Pavia, Italy. Electronic address: marco.terreni@unipv.it.'}, {'lastname': 'Zhang', 'firstname': 'Yongmin', 'initials': 'Y', 'affiliation': 'Sorbonne Université, CNRS, Institut Parisien de Chimie Moléculaire, UMR 8232, 4 Place Jussieu, 75005, Paris, France; Key Laboratory of Tropical Medicinal Resource Chemistry of Ministry of Education, College of Chemistry and Chemical Engineering, Hainan Normal University, Haikou, 571158, China. Electronic address: yongmin.zhang@upmc.fr.'}]"
35051748,Tumor-microenvironmental-response Bi-functional molecules for efficient imaging and anti-tumor activity therapy.,"['Anticancer agents', 'Bifunctional molecule', 'Cell imaging', 'Diagnosis and treatment integration', 'Releasable linker']",European journal of medicinal chemistry,"To improve the visualization and potency of anticancer agents, the diagnosis and treatment integration bi-functional molecules were constructed based on active candidate BD7, approved drug Linifanib, and monoclonal antibody Bevacizumab. Commercial available Rhodamine B was inducted to realize imaging-aided diagnosis and target efficiency monitoring for cancer cells. In order to maintain the anticancer activity of drugs, disulfide bond was incorporated as releasable group based on tumor microenviroment. After design, synthesis and structure characterization of title compounds, various biological evaluation and cancer cell imaging analysis were carried out. The results indicated that these title diagnosis and treatment integration bi-functional molecules exhibited comparable potency with that of corresponding parent drug. Meanwhile, these agents afforded good performance in cell imaging and could be used to differentiate cancer cells from normal ovarian cells in real time. Further optimization of these bi-functional molecules is ongoing to improve the potency and precision and will be reported in due course. Our findings are expected to achieve efficient screening and real-time prognostic monitoring under the premise of high anti-tumor activity for clinical application.",,,,Copyright © 2022 Elsevier Masson SAS. All rights reserved.,10.1016/j.ejmech.2022.114120,2022-01-21,"[{'lastname': 'Wang', 'firstname': 'Jin', 'initials': 'J', 'affiliation': ""School of Pharmacy, Health Science Center, Xi'an Jiaotong University, Xi'an, 710061, PR China.""}, {'lastname': 'Si', 'firstname': 'Ru', 'initials': 'R', 'affiliation': ""School of Pharmacy, Health Science Center, Xi'an Jiaotong University, Xi'an, 710061, PR China.""}, {'lastname': 'Zhang', 'firstname': 'Qingqing', 'initials': 'Q', 'affiliation': ""School of Pharmacy, Health Science Center, Xi'an Jiaotong University, Xi'an, 710061, PR China.""}, {'lastname': 'Pan', 'firstname': 'Xiaoyan', 'initials': 'X', 'affiliation': ""School of Pharmacy, Health Science Center, Xi'an Jiaotong University, Xi'an, 710061, PR China. Electronic address: panxy2016@mail.xjtu.edu.cn.""}, {'lastname': 'Zhang', 'firstname': 'Jie', 'initials': 'J', 'affiliation': ""School of Pharmacy, Health Science Center, Xi'an Jiaotong University, Xi'an, 710061, PR China. Electronic address: zhj8623@mail.xjtu.edu.cn.""}]"
35051747,Recent advances in DDR (DNA damage response) inhibitors for cancer therapy.,"['DNA damage Response', 'Small molecule inhibitors', 'Synthetic lethality']",European journal of medicinal chemistry,"DDR (DNA damage response) defects in cells drive tumor formation by promoting DNA mutations, which also provides cancer-specific vulnerabilities that can be targeted by synthetic lethality-based therapies. Until now, PARP inhibitors like olaparib are the first successful case of utilizing synthetic lethality-based therapy to treat cancers with DNA-repairing deficiency (e.g. BRCA1 or BRCA2 mutation), which has fueled the search for more targetable components in the DDR signaling pathway by exploiting synthetic lethality, including but not limited to DNA-PK, ATR, ATM, CHK1, and WEE1. After years of efforts, numerous DDR kinase inhibitors have been discovered. Some of them are being investigated in clinical trials and have shown promising results for cancer therapy. In this review, we summarize the latest advancement in the development of DDR kinase inhibitors including those in preclinical stages and clinical trials, the crystal structures of DDR enzymes, and binding modes of inhibitors with target proteins. The biological functions involving different genes and proteins (ATR, DNA-PK, ATM, PARP, CHK1, and WEE1) are also elucidated.",,,,Copyright © 2022 Elsevier Masson SAS. All rights reserved.,10.1016/j.ejmech.2022.114109,2022-01-21,"[{'lastname': 'Cheng', 'firstname': 'Binbin', 'initials': 'B', 'affiliation': 'School of Medicine, Hubei Polytechnic University, Huangshi, 435003, China.'}, {'lastname': 'Pan', 'firstname': 'Wei', 'initials': 'W', 'affiliation': ""Department of Cardiology, The Sixth Affiliated Hospital, South China University of Technology, Nanhai People's Hospital, Foshan, Guangdong, 528200, China.""}, {'lastname': 'Xing', 'firstname': 'Yi', 'initials': 'Y', 'affiliation': ""Hospital of Stomatology, Tianjin Medical University, Tianjin, 300070, People's Republic of China.""}, {'lastname': 'Xiao', 'firstname': 'Yao', 'initials': 'Y', 'affiliation': 'Wuchang Hospital Affiliated to Wuhan University of Science and Technology, Wuhan Wuchang Hospital, Wuchang, 430063, China.'}, {'lastname': 'Chen', 'firstname': 'Jianjun', 'initials': 'J', 'affiliation': 'School of Pharmaceutical Sciences, Guangdong Provincial Key Laboratory of New Drug Screening, Southern Medical University, Guangzhou, 510515, China. Electronic address: jchen21@smu.edu.cn.'}, {'lastname': 'Xu', 'firstname': 'Zheng', 'initials': 'Z', 'affiliation': 'College of Animal Science and National Engineering Center for Swine Breeding Industry, South China Agriculture University, Guangzhou, 510642, China. Electronic address: stonezen@scau.edu.cn.'}]"
35051746,Discovery of small-molecule fluorescent probes for C-Met.,"['C-Met', 'Cancers', 'Cell imaging', 'Fluorescent inhibitors', 'Fluorescent probes']",European journal of medicinal chemistry,"C-mesenchymal-epithelia transition factor (c-Met) is highly expressed in various solid tumors such as gastric cancer, liver cancer, and lung cancer, playing a pivotal role in the growth, maintenance, and development of different tumor cells. In this study, three small-molecule fluorescent probes (5, 11, 16) targeting c-Met were developed, and their design strategies were also initially explored. In general, the fluorescence properties of the probes themselves could meet the imaging requirements, and they have shown sufficient inhibitory activities against c-Met, especially probe 16, reflecting the targeting and acceptance. Also, fluorescence polarization assays and flow cytometry analysis verified the binding between the probes and c-Met. Cell imaging confirmed that these probes could be used to label c-Met on living cells. It is of positive significance for the development of c-Met kinase inhibitors and tumor pathology research.",,,,Copyright © 2022 Elsevier Masson SAS. All rights reserved.,10.1016/j.ejmech.2022.114114,2022-01-21,"[{'lastname': 'Liang', 'firstname': 'Dong', 'initials': 'D', 'affiliation': 'Key Laboratory of Chemical Biology (MOE), School of Pharmaceutical Science, Cheeloo College of Medicine, Shandong University, Jinan, Shandong 250012, China.'}, {'lastname': 'Yu', 'firstname': 'Chen', 'initials': 'C', 'affiliation': 'Key Laboratory of Chemical Biology (MOE), School of Pharmaceutical Science, Cheeloo College of Medicine, Shandong University, Jinan, Shandong 250012, China.'}, {'lastname': 'Qin', 'firstname': 'Xiaojun', 'initials': 'X', 'affiliation': 'Key Laboratory of Chemical Biology (MOE), School of Pharmaceutical Science, Cheeloo College of Medicine, Shandong University, Jinan, Shandong 250012, China.'}, {'lastname': 'Yang', 'firstname': 'Xingye', 'initials': 'X', 'affiliation': 'Key Laboratory of Chemical Biology (MOE), School of Pharmaceutical Science, Cheeloo College of Medicine, Shandong University, Jinan, Shandong 250012, China.'}, {'lastname': 'Dong', 'firstname': 'Xuhui', 'initials': 'X', 'affiliation': 'Key Laboratory of Chemical Biology (MOE), School of Pharmaceutical Science, Cheeloo College of Medicine, Shandong University, Jinan, Shandong 250012, China.'}, {'lastname': 'Hu', 'firstname': 'Mingzhao', 'initials': 'M', 'affiliation': 'Key Laboratory of Chemical Biology (MOE), School of Pharmaceutical Science, Cheeloo College of Medicine, Shandong University, Jinan, Shandong 250012, China.'}, {'lastname': 'Du', 'firstname': 'Lupei', 'initials': 'L', 'affiliation': 'Key Laboratory of Chemical Biology (MOE), School of Pharmaceutical Science, Cheeloo College of Medicine, Shandong University, Jinan, Shandong 250012, China.'}, {'lastname': 'Li', 'firstname': 'Minyong', 'initials': 'M', 'affiliation': 'Key Laboratory of Chemical Biology (MOE), School of Pharmaceutical Science, Cheeloo College of Medicine, Shandong University, Jinan, Shandong 250012, China. Electronic address: mli@sdu.edu.cn.'}]"
35033825,Synthesis of 8-aminomorphans with high KOR affinity.,"['2-azabicyclo[3.3.1]nonane', 'Chiral HPLC', 'Cis/trans-configuration', 'Conformational restriction', 'Diastereoselective reductive amination', 'Dihedral angle', 'Enantiomeric excess', 'Endo-configuration', 'KOR agonists', 'KOR pharmacophore', 'Morphan', 'NOESY spectrum', 'Structure-affinity relationships']",European journal of medicinal chemistry,"2-Azabicyclo[3.3.1]nonanes (morphans) with a (3,4-dichlorophenyl)acetyl group at 2-position and a pyrrolidino moiety at 8-position were designed as conformationally restricted analogs of piperidine-based KOR agonists. The synthesis started with 4-oxopiperidine-2-carboxylic acid comprising 13 reaction steps. At first the ketone 10 was transformed into diester 7 bearing a propionate side chain. Dieckmann condensation of diester 7 to afford bicyclic enolester 14 and subsequent Krapcho deethoxycarbonylation represent the key steps of the synthesis. The enantiomeric pyrrolidines (1S,5R,8R)-5a and (1R,5S,8S)-5a were separated by chiral HPLC. The eutomer (1S,5R,8R)-5a showed high KOR affinity (K",,,,Copyright © 2022 Elsevier Masson SAS. All rights reserved.,10.1016/j.ejmech.2021.114079,2022-01-17,"[{'lastname': 'Jonas', 'firstname': 'Hendrik', 'initials': 'H', 'affiliation': 'Institut für Pharmazeutische und Medizinische Chemie der Universität Münster, Corrensstraße 48, D-48149, Münster, Germany; Dipartimento di Scienze e Tecnologie Biologiche Chimiche e Farmaceutiche, Università degli Studi di Palermo, Via Archirafi 32, I-90123, Palermo, Italy.'}, {'lastname': 'Aiello', 'firstname': 'Daniele', 'initials': 'D', 'affiliation': 'Dipartimento di Scienze e Tecnologie Biologiche Chimiche e Farmaceutiche, Università degli Studi di Palermo, Via Archirafi 32, I-90123, Palermo, Italy.'}, {'lastname': 'Schepmann', 'firstname': 'Dirk', 'initials': 'D', 'affiliation': 'Institut für Pharmazeutische und Medizinische Chemie der Universität Münster, Corrensstraße 48, D-48149, Münster, Germany.'}, {'lastname': 'Diana', 'firstname': 'Patrizia', 'initials': 'P', 'affiliation': 'Dipartimento di Scienze e Tecnologie Biologiche Chimiche e Farmaceutiche, Università degli Studi di Palermo, Via Archirafi 32, I-90123, Palermo, Italy.'}, {'lastname': 'Wünsch', 'firstname': 'Bernhard', 'initials': 'B', 'affiliation': 'Institut für Pharmazeutische und Medizinische Chemie der Universität Münster, Corrensstraße 48, D-48149, Münster, Germany. Electronic address: wuensch@uni-muenster.de.'}]"
35033826,"Corrigendum to <'Design, synthesis and biological evaluation of novel peptides with anti-cancer and drug resistance-reversing activities'><[European Journal of Medicinal Chemistry, 89 (2015) 540-548]>.",[],European journal of medicinal chemistry,,,,,,10.1016/j.ejmech.2022.114107,2022-01-17,"[{'lastname': 'Deng', 'firstname': 'Xin', 'initials': 'X', 'affiliation': '<Center of Drug Discovery, State Key Laboratory of Natural Medicines, China Pharmaceutical University, 24 Tongjiaxiang, Nanjing, Jiangsu, 210009, China>.'}, {'lastname': 'Qiu', 'firstname': 'Qianqian', 'initials': 'Q', 'affiliation': '<Center of Drug Discovery, State Key Laboratory of Natural Medicines, China Pharmaceutical University, 24 Tongjiaxiang, Nanjing, Jiangsu, 210009, China>.'}, {'lastname': 'Yang', 'firstname': 'Baowei', 'initials': 'B', 'affiliation': '<Center of Drug Discovery, State Key Laboratory of Natural Medicines, China Pharmaceutical University, 24 Tongjiaxiang, Nanjing, Jiangsu, 210009, China>.'}, {'lastname': 'Wang', 'firstname': 'Xuekun', 'initials': 'X', 'affiliation': '<Center of Drug Discovery, State Key Laboratory of Natural Medicines, China Pharmaceutical University, 24 Tongjiaxiang, Nanjing, Jiangsu, 210009, China>.'}, {'lastname': 'Huang', 'firstname': 'Wenlong', 'initials': 'W', 'affiliation': '<Center of Drug Discovery, State Key Laboratory of Natural Medicines, China Pharmaceutical University, 24 Tongjiaxiang, Nanjing, Jiangsu, 210009, China>. Electronic address: ydhuangwenlong@126.com.'}, {'lastname': 'Qian', 'firstname': 'Hai', 'initials': 'H', 'affiliation': '<Center of Drug Discovery, State Key Laboratory of Natural Medicines, China Pharmaceutical University, 24 Tongjiaxiang, Nanjing, Jiangsu, 210009, China>. Electronic address: qianhai24@163.com.'}]"
35033824,Novel PHD2/HDACs hybrid inhibitors protect against cisplatin-induced acute kidney injury.,"['Acute kidney injury', 'HDACs', 'Hybrid inhibitor', 'PHD2', 'Renal protecting']",European journal of medicinal chemistry,"Acute kidney injury (AKI) is associated with high morbidity and mortality. Cisplatin is a common chemotherapeutic, but its nephrotoxicity-driven AKI limits its clinical application. Currently, there are no specific and satisfactory therapies in the clinic for AKI. Inhibitors of hypoxia-inducible factor prolyl hydroxylase 2 (HIF-PHD2) or histone deacetylase (HDACs) had shown renoprotective effects against AKI in preclinical studies. This study aimed to develop a novel therapeutic to prevent AKI progression by targeting PHD2 and HDACs simultaneously. We designed and synthesized a series of PHD2/HDACs hybrid inhibitors. The initial drug activity screening identified a candidate compound 31c, which exhibited potent inhibitory activities against PHD2 and HDAC1/2/6. Cellular analyses further showed that 31c did not affect cisplatin's antitumor activity in cancer cells but strongly protected cisplatin-induced toxicity on HK-2 cells. In vivo studies with the cisplatin-induced AKI mouse model demonstrated that 31c remarkably alleviated kidney dysfunction with suppressed plasma BUN/SCr and increased EPO levels. The potent renoprotective effects of 31c on AKI were confirmed by significant improvements in pathological kidney conditions in the mouse model. These results suggest that the novel PHD2/HDACs hybrid inhibitor, 31c, has a clinical potential as the renoprotective agent for the treatment/prevention of cisplatin-induced AKI for various cancers.",,,,Copyright © 2022 Elsevier Masson SAS. All rights reserved.,10.1016/j.ejmech.2022.114115,2022-01-17,"[{'lastname': 'Wei', 'firstname': 'Huiqiang', 'initials': 'H', 'affiliation': 'Tianjin Key Laboratory of Radiation Medicine and Molecular Nuclear Medicine, Institute of Radiation Medicine, Peking Union Medical College & Chinese Academy of Medical Sciences, Tianjin, 300192, China.'}, {'lastname': 'Gou', 'firstname': 'Wenfeng', 'initials': 'W', 'affiliation': 'Tianjin Key Laboratory of Radiation Medicine and Molecular Nuclear Medicine, Institute of Radiation Medicine, Peking Union Medical College & Chinese Academy of Medical Sciences, Tianjin, 300192, China.'}, {'lastname': 'Gao', 'firstname': 'Jun', 'initials': 'J', 'affiliation': 'Shengyang Pharmaceutical University, Shenyang, 110016, China.'}, {'lastname': 'Ning', 'firstname': 'Hongxin', 'initials': 'H', 'affiliation': 'Tianjin Key Laboratory of Radiation Medicine and Molecular Nuclear Medicine, Institute of Radiation Medicine, Peking Union Medical College & Chinese Academy of Medical Sciences, Tianjin, 300192, China.'}, {'lastname': 'Song', 'firstname': 'Yang', 'initials': 'Y', 'affiliation': 'Department of Pathology, The First Affiliated Hospital of Jinzhou Medical University, Jinzhou, 121000, China.'}, {'lastname': 'Li', 'firstname': 'Deguan', 'initials': 'D', 'affiliation': 'Tianjin Key Laboratory of Radiation Medicine and Molecular Nuclear Medicine, Institute of Radiation Medicine, Peking Union Medical College & Chinese Academy of Medical Sciences, Tianjin, 300192, China.'}, {'lastname': 'Qin', 'firstname': 'Yong', 'initials': 'Y', 'affiliation': 'Department of Pharmaceutical Sciences, The University of Texas at El Paso, El Paso, TX, United States. Electronic address: yqin@utep.edu.'}, {'lastname': 'Hou', 'firstname': 'Wenbin', 'initials': 'W', 'affiliation': 'Tianjin Key Laboratory of Radiation Medicine and Molecular Nuclear Medicine, Institute of Radiation Medicine, Peking Union Medical College & Chinese Academy of Medical Sciences, Tianjin, 300192, China. Electronic address: houwenbin@irm-cams.ac.cn.'}, {'lastname': 'Li', 'firstname': 'Yiliang', 'initials': 'Y', 'affiliation': 'Tianjin Key Laboratory of Radiation Medicine and Molecular Nuclear Medicine, Institute of Radiation Medicine, Peking Union Medical College & Chinese Academy of Medical Sciences, Tianjin, 300192, China. Electronic address: liyiliang@irm-cams.ac.cn.'}]"
35026532,Development of novel 2-aminoalkyl-6-(2-hydroxyphenyl)pyridazin-3(2H)-one derivatives as balanced multifunctional agents against Alzheimer's disease.,"['6-(2-Hydroxyphenyl)pyridazin-3(2H)-ones', 'Acetylcholinesterase inhibitors', ""Alzheimer's disease"", 'Anti-Aβ inhibitors', 'Anti-neuroinflammatory agents', 'Antioxidants', 'Multitarget-directed ligands']",European journal of medicinal chemistry,"Based on multitarget-directed ligands approach, through two rounds of screening, a series of 2-aminoalkyl-6-(2-hydroxyphenyl)pyridazin-3(2H)-one derivatives were designed, synthesized and evaluated as innovative multifunctional agents against Alzheimer's disease. In vitro biological assays indicated that most of the hybrids were endowed with great AChE inhibitory activity, excellent antioxidant activity and moderate Aβ",,,,Copyright © 2022 Elsevier Masson SAS. All rights reserved.,10.1016/j.ejmech.2021.114098,2022-01-14,"[{'lastname': 'Shi', 'firstname': 'Yichun', 'initials': 'Y', 'affiliation': 'Department of Medicinal Chemistry, Key Laboratory of Drug-Targeting and Drug Delivery System of the Education Ministry and Sichuan Province, Sichuan Engineering Laboratory for Plant-Sourced Drug and Sichuan Research Center for Drug Precision Industrial Technology, West China School of Pharmacy, Sichuan University, Chengdu, 610041, China.'}, {'lastname': 'Zhang', 'firstname': 'Heng', 'initials': 'H', 'affiliation': 'Department of Medicinal Chemistry, Key Laboratory of Drug-Targeting and Drug Delivery System of the Education Ministry and Sichuan Province, Sichuan Engineering Laboratory for Plant-Sourced Drug and Sichuan Research Center for Drug Precision Industrial Technology, West China School of Pharmacy, Sichuan University, Chengdu, 610041, China.'}, {'lastname': 'Song', 'firstname': 'Qing', 'initials': 'Q', 'affiliation': 'Department of Medicinal Chemistry, Key Laboratory of Drug-Targeting and Drug Delivery System of the Education Ministry and Sichuan Province, Sichuan Engineering Laboratory for Plant-Sourced Drug and Sichuan Research Center for Drug Precision Industrial Technology, West China School of Pharmacy, Sichuan University, Chengdu, 610041, China.'}, {'lastname': 'Yu', 'firstname': 'Guangjun', 'initials': 'G', 'affiliation': 'Department of Medicinal Chemistry, Key Laboratory of Drug-Targeting and Drug Delivery System of the Education Ministry and Sichuan Province, Sichuan Engineering Laboratory for Plant-Sourced Drug and Sichuan Research Center for Drug Precision Industrial Technology, West China School of Pharmacy, Sichuan University, Chengdu, 610041, China.'}, {'lastname': 'Liu', 'firstname': 'Zhuoling', 'initials': 'Z', 'affiliation': 'Department of Medicinal Chemistry, Key Laboratory of Drug-Targeting and Drug Delivery System of the Education Ministry and Sichuan Province, Sichuan Engineering Laboratory for Plant-Sourced Drug and Sichuan Research Center for Drug Precision Industrial Technology, West China School of Pharmacy, Sichuan University, Chengdu, 610041, China.'}, {'lastname': 'Zhong', 'firstname': 'Feng', 'initials': 'F', 'affiliation': 'Department of Medicinal Chemistry, Key Laboratory of Drug-Targeting and Drug Delivery System of the Education Ministry and Sichuan Province, Sichuan Engineering Laboratory for Plant-Sourced Drug and Sichuan Research Center for Drug Precision Industrial Technology, West China School of Pharmacy, Sichuan University, Chengdu, 610041, China.'}, {'lastname': 'Tan', 'firstname': 'Zhenghuai', 'initials': 'Z', 'affiliation': 'Institute of Traditional Chinese Medicine Pharmacology and Toxicology, Sichuan Academy of Chinese Medicine Sciences, Chengdu, 610041, China.'}, {'lastname': 'Liu', 'firstname': 'Xiuxiu', 'initials': 'X', 'affiliation': 'Department of Medicinal Chemistry, Key Laboratory of Drug-Targeting and Drug Delivery System of the Education Ministry and Sichuan Province, Sichuan Engineering Laboratory for Plant-Sourced Drug and Sichuan Research Center for Drug Precision Industrial Technology, West China School of Pharmacy, Sichuan University, Chengdu, 610041, China. Electronic address: liuxiuxiu@scu.edu.cn.'}, {'lastname': 'Deng', 'firstname': 'Yong', 'initials': 'Y', 'affiliation': 'Department of Medicinal Chemistry, Key Laboratory of Drug-Targeting and Drug Delivery System of the Education Ministry and Sichuan Province, Sichuan Engineering Laboratory for Plant-Sourced Drug and Sichuan Research Center for Drug Precision Industrial Technology, West China School of Pharmacy, Sichuan University, Chengdu, 610041, China. Electronic address: dengyong@scu.edu.cn.'}]"
35016113,"Dual Sigma-1 receptor antagonists and hydrogen sulfide-releasing compounds for pain treatment: Design, synthesis, and pharmacological evaluation.","['Analgesia', 'Antagonist', 'Dual ligands', 'Hydrogen sulfide donor', 'Sigma-1 receptor']",European journal of medicinal chemistry,The development of σ,,,,Copyright © 2022 Elsevier Masson SAS. All rights reserved.,10.1016/j.ejmech.2021.114091,2022-01-12,"[{'lastname': 'Dichiara', 'firstname': 'Maria', 'initials': 'M', 'affiliation': 'Department of Drug and Health Sciences, Medicinal Chemistry Section, Università Degli Studi di Catania, Viale Andrea Doria 6, 95125, Catania, Italy.'}, {'lastname': 'Artacho-Cordón', 'firstname': 'Antonia', 'initials': 'A', 'affiliation': 'Department of Pharmacology, Faculty of Medicine and Biomedical Research Center (Neurosciences Institute), University of Granada and Biosanitary Research Institute Ibs.Granada, 18016, Granada, Spain.'}, {'lastname': 'Turnaturi', 'firstname': 'Rita', 'initials': 'R', 'affiliation': 'Department of Drug and Health Sciences, Medicinal Chemistry Section, Università Degli Studi di Catania, Viale Andrea Doria 6, 95125, Catania, Italy.'}, {'lastname': 'Santos-Caballero', 'firstname': 'Miriam', 'initials': 'M', 'affiliation': 'Department of Pharmacology, Faculty of Medicine and Biomedical Research Center (Neurosciences Institute), University of Granada and Biosanitary Research Institute Ibs.Granada, 18016, Granada, Spain.'}, {'lastname': 'González-Cano', 'firstname': 'Rafael', 'initials': 'R', 'affiliation': 'Department of Pharmacology, Faculty of Medicine and Biomedical Research Center (Neurosciences Institute), University of Granada and Biosanitary Research Institute Ibs.Granada, 18016, Granada, Spain.'}, {'lastname': 'Pasquinucci', 'firstname': 'Lorella', 'initials': 'L', 'affiliation': 'Department of Drug and Health Sciences, Medicinal Chemistry Section, Università Degli Studi di Catania, Viale Andrea Doria 6, 95125, Catania, Italy.'}, {'lastname': 'Barbaraci', 'firstname': 'Carla', 'initials': 'C', 'affiliation': 'Department of Drug and Health Sciences, Medicinal Chemistry Section, Università Degli Studi di Catania, Viale Andrea Doria 6, 95125, Catania, Italy.'}, {'lastname': 'Rodríguez-Gómez', 'firstname': 'Isabel', 'initials': 'I', 'affiliation': 'Department of Physiology, Faculty of Medicine, University of Granada, 18016, Granada, Spain.'}, {'lastname': 'Gómez-Guzmán', 'firstname': 'Manuel', 'initials': 'M', 'affiliation': 'Department of Pharmacology, Faculty of Pharmacy and Biomedical Research Center, University of Granada and Biosanitary Research Institute Ibs.Granada, 18016, Granada, Spain.'}, {'lastname': 'Marrazzo', 'firstname': 'Agostino', 'initials': 'A', 'affiliation': 'Department of Drug and Health Sciences, Medicinal Chemistry Section, Università Degli Studi di Catania, Viale Andrea Doria 6, 95125, Catania, Italy.'}, {'lastname': 'Cobos', 'firstname': 'Enrique J', 'initials': 'EJ', 'affiliation': 'Department of Pharmacology, Faculty of Medicine and Biomedical Research Center (Neurosciences Institute), University of Granada and Biosanitary Research Institute Ibs.Granada, 18016, Granada, Spain. Electronic address: ejcobos@ugr.es.'}, {'lastname': 'Amata', 'firstname': 'Emanuele', 'initials': 'E', 'affiliation': 'Department of Drug and Health Sciences, Medicinal Chemistry Section, Università Degli Studi di Catania, Viale Andrea Doria 6, 95125, Catania, Italy. Electronic address: eamata@unict.it.'}]"
