pubmed_id,title,keywords,journal,abstract,conclusions,methods,results,copyrights,doi,publication_date,authors
35147657,Association of Homologous and Heterologous Vaccine Boosters With COVID-19 Incidence and Severity in Singapore.,[],JAMA,,,,,,10.1001/jama.2022.1922,2022-02-12,"[{'lastname': 'Tan', 'firstname': 'Sharon Hui Xuan', 'initials': 'SHX', 'affiliation': 'Saw Swee Hock School of Public Health, National University of Singapore, Singapore.'}, {'lastname': 'Pung', 'firstname': 'Rachael', 'initials': 'R', 'affiliation': 'Ministry of Health, Singapore.'}, {'lastname': 'Wang', 'firstname': 'Lin-Fa', 'initials': 'LF', 'affiliation': 'Programme in Emerging Infectious Diseases, Duke-NUS Medical School, Singapore.'}, {'lastname': 'Lye', 'firstname': 'David Chien', 'initials': 'DC', 'affiliation': 'National Centre for Infectious Diseases, Singapore.'}, {'lastname': 'Ong', 'firstname': 'Benjamin', 'initials': 'B', 'affiliation': 'Ministry of Health, Singapore.'}, {'lastname': 'Cook', 'firstname': 'Alex R', 'initials': 'AR', 'affiliation': 'Saw Swee Hock School of Public Health, National University of Singapore, Singapore.'}, {'lastname': 'Tan', 'firstname': 'Kelvin Bryan', 'initials': 'KB', 'affiliation': 'Ministry of Health, Singapore.'}]"
35147656,Time to Retire the Concept of Transient Ischemic Attack.,[],JAMA,,,,,,10.1001/jama.2022.0300,2022-02-12,"[{'lastname': 'Easton', 'firstname': 'J Donald', 'initials': 'JD', 'affiliation': 'University of California, San Francisco.'}, {'lastname': 'Johnston', 'firstname': 'S Claiborne', 'initials': 'SC', 'affiliation': 'Dell Medical School, The University of Texas at Austin.'}]"
35143603,Effect of Intra-arterial Alteplase vs Placebo Following Successful Thrombectomy on Functional Outcomes in Patients With Large Vessel Occlusion Acute Ischemic Stroke: The CHOICE Randomized Clinical Trial.,[],JAMA,"It is estimated that only 27% of patients with acute ischemic stroke and large vessel occlusion who undergo successful reperfusion after mechanical thrombectomy are disability free at 90 days. An incomplete microcirculatory reperfusion might contribute to these suboptimal clinical benefits.
To investigate whether treatment with adjunct intra-arterial alteplase after thrombectomy improves outcomes following reperfusion.
Phase 2b randomized, double-blind, placebo-controlled trial performed from December 2018 through May 2021 in 7 stroke centers in Catalonia, Spain. The study included 121 patients with large vessel occlusion acute ischemic stroke treated with thrombectomy within 24 hours after stroke onset and with an expanded Treatment in Cerebral Ischemia angiographic score of 2b50 to 3.
Participants were randomized to receive intra-arterial alteplase (0.225 mg/kg; maximum dose, 22.5 mg) infused over 15 to 30 minutes (n = 61) or placebo (n = 52).
The primary outcome was the difference in proportion of patients achieving a score of 0 or 1 on the 90-day modified Rankin Scale (range, 0 [no symptoms] to 6 [death]) in all patients treated as randomized. Safety outcomes included rate of symptomatic intracranial hemorrhage and death.
The study was terminated early for inability to maintain placebo availability and enrollment rate because of the COVID-19 pandemic. Of 1825 patients with acute ischemic stroke treated with thrombectomy at the 7 study sites, 748 (41%) patients fulfilled the angiographic criteria, 121 (7%) patients were randomized (mean age, 70.6 [SD, 13.7] years; 57 women [47%]), and 113 (6%) were treated as randomized. The proportion of participants with a modified Rankin Scale score of 0 or 1 at 90 days was 59.0% (36/61) with alteplase and 40.4% (21/52) with placebo (adjusted risk difference, 18.4%; 95% CI, 0.3%-36.4%; P = .047). The proportion of patients with symptomatic intracranial hemorrhage within 24 hours was 0% with alteplase and 3.8% with placebo (risk difference, -3.8%; 95% CI, -13.2% to 2.5%). Ninety-day mortality was 8% with alteplase and 15% with placebo (risk difference, -7.2%; 95% CI, -19.2% to 4.8%).
Among patients with large vessel occlusion acute ischemic stroke and successful reperfusion following thrombectomy, the use of adjunct intra-arterial alteplase compared with placebo resulted in a greater likelihood of excellent neurological outcome at 90 days. However, because of study limitations, these findings should be interpreted as preliminary and require replication.
ClinicalTrials.gov Identifier: NCT03876119; EudraCT Number: 2018-002195-40.",,,,,10.1001/jama.2022.1645,2022-02-11,"[{'lastname': 'Renú', 'firstname': 'Arturo', 'initials': 'A', 'affiliation': ""Department of Neuroscience, Comprehensive Stroke Center, Hospital Clinic of Barcelona, Barcelona, Spain.\nInstitut d'Investigacions Biomèdiques Agustí Pi i Sunyer (IDIBAPS), Barcelona, Spain.""}, {'lastname': 'Millán', 'firstname': 'Mónica', 'initials': 'M', 'affiliation': 'Stroke Unit, Department of Neuroscience, Hospital Universitari Germans Trias i Pujol, Badalona, Spain.'}, {'lastname': 'San Román', 'firstname': 'Luis', 'initials': 'L', 'affiliation': 'Neuroradiology Service, Hospital Clinic of Barcelona, Barcelona, Spain.'}, {'lastname': 'Blasco', 'firstname': 'Jordi', 'initials': 'J', 'affiliation': 'Neuroradiology Service, Hospital Clinic of Barcelona, Barcelona, Spain.'}, {'lastname': 'Martí-Fàbregas', 'firstname': 'Joan', 'initials': 'J', 'affiliation': 'Department of Neurology, Stroke Unit, Hospital de la Santa Creu i Sant Pau, Barcelona, Spain.'}, {'lastname': 'Terceño', 'firstname': 'Mikel', 'initials': 'M', 'affiliation': 'Neuroradiology Service, Hospital Universitari de Girona Doctor Josep Trueta, Girona, Spain.'}, {'lastname': 'Amaro', 'firstname': 'Sergio', 'initials': 'S', 'affiliation': ""Department of Neuroscience, Comprehensive Stroke Center, Hospital Clinic of Barcelona, Barcelona, Spain.\nInstitut d'Investigacions Biomèdiques Agustí Pi i Sunyer (IDIBAPS), Barcelona, Spain.\nSchool of Medicine, University of Barcelona, Barcelona, Spain.""}, {'lastname': 'Serena', 'firstname': 'Joaquín', 'initials': 'J', 'affiliation': ""Neurology Service, Stroke Unit, Institut d'Investigació Biomèdica de Girona (IDIBGI), Hospital Universitari de Girona Doctor Josep Trueta, Girona, Spain.""}, {'lastname': 'Urra', 'firstname': 'Xabier', 'initials': 'X', 'affiliation': ""Department of Neuroscience, Comprehensive Stroke Center, Hospital Clinic of Barcelona, Barcelona, Spain.\nInstitut d'Investigacions Biomèdiques Agustí Pi i Sunyer (IDIBAPS), Barcelona, Spain.\nSchool of Medicine, University of Barcelona, Barcelona, Spain.""}, {'lastname': 'Laredo', 'firstname': 'Carlos', 'initials': 'C', 'affiliation': ""Department of Neuroscience, Comprehensive Stroke Center, Hospital Clinic of Barcelona, Barcelona, Spain.\nInstitut d'Investigacions Biomèdiques Agustí Pi i Sunyer (IDIBAPS), Barcelona, Spain.""}, {'lastname': 'Barranco', 'firstname': 'Roger', 'initials': 'R', 'affiliation': 'Department of Interventional Neuroradiology, Bellvitge University Hospital, Hospitalet de Llobregat, Barcelona, Spain.'}, {'lastname': 'Camps-Renom', 'firstname': 'Pol', 'initials': 'P', 'affiliation': 'Department of Neurology, Stroke Unit, Hospital de la Santa Creu i Sant Pau, Barcelona, Spain.'}, {'lastname': 'Zarco', 'firstname': 'Federico', 'initials': 'F', 'affiliation': 'Neuroradiology Service, Hospital Clinic of Barcelona, Barcelona, Spain.'}, {'lastname': 'Oleaga', 'firstname': 'Laura', 'initials': 'L', 'affiliation': 'Neuroradiology Service, Hospital Clinic of Barcelona, Barcelona, Spain.'}, {'lastname': 'Cardona', 'firstname': 'Pere', 'initials': 'P', 'affiliation': 'Department of Neurology, Bellvitge University Hospital, Barcelona, Spain.'}, {'lastname': 'Castaño', 'firstname': 'Carlos', 'initials': 'C', 'affiliation': 'Interventional Neuroradiology Unit, Department of Neuroscience, Hospital Universitari Germans Trias i Pujol, Badalona, Spain.'}, {'lastname': 'Macho', 'firstname': 'Juan', 'initials': 'J', 'affiliation': 'Neuroradiology Service, Hospital Clinic of Barcelona, Barcelona, Spain.'}, {'lastname': 'Cuadrado-Godía', 'firstname': 'Elisa', 'initials': 'E', 'affiliation': ""Department of Neurology, Institut Hospital del Mar d'Investigacions Mèdiques, Universitat Autònoma de Barcelona, Barcelona, Spain.""}, {'lastname': 'Vivas', 'firstname': 'Elio', 'initials': 'E', 'affiliation': 'Department of Neuroradiology, Hospital del Mar, Barcelona, Spain.'}, {'lastname': 'López-Rueda', 'firstname': 'Antonio', 'initials': 'A', 'affiliation': 'Neuroradiology Service, Hospital Clinic of Barcelona, Barcelona, Spain.'}, {'lastname': 'Guimaraens', 'firstname': 'Leopoldo', 'initials': 'L', 'affiliation': 'Department of Neuroradiology, Hospital del Mar, Barcelona, Spain.'}, {'lastname': 'Ramos-Pachón', 'firstname': 'Anna', 'initials': 'A', 'affiliation': 'Stroke Unit, Department of Neuroscience, Hospital Universitari Germans Trias i Pujol, Badalona, Spain.'}, {'lastname': 'Roquer', 'firstname': 'Jaume', 'initials': 'J', 'affiliation': ""Department of Neurology, Institut Hospital del Mar d'Investigacions Mèdiques, Universitat Autònoma de Barcelona, Barcelona, Spain.""}, {'lastname': 'Muchada', 'firstname': 'Marian', 'initials': 'M', 'affiliation': ""Stroke Unit, Department of Neurology, Hospital Universitari Vall d'Hebron, Barcelona, Spain.""}, {'lastname': 'Tomasello', 'firstname': 'Alejandro', 'initials': 'A', 'affiliation': ""Department of Neuroradiology, Hospital Vall d'Hebron, Universitat Autònoma de Barcelona, Barcelona, Spain.""}, {'lastname': 'Dávalos', 'firstname': 'Antonio', 'initials': 'A', 'affiliation': 'Stroke Unit, Department of Neuroscience, Hospital Universitari Germans Trias i Pujol, Badalona, Spain.\nDepartment of Neurology, Stroke Unit, Hospital de la Santa Creu i Sant Pau, Barcelona, Spain.'}, {'lastname': 'Torres', 'firstname': 'Ferran', 'initials': 'F', 'affiliation': 'Medical Statistics Core Facility, Clinical Pharmacology Service, IDIBAPS, Hospital Clínic Barcelona, Barcelona, Spain.\nBiostatistics Unit, Faculty of Medicine, Universitat Autònoma de Barcelona, Barcelona, Spain.'}, {'lastname': 'Chamorro', 'firstname': 'Ángel', 'initials': 'Á', 'affiliation': ""Department of Neuroscience, Comprehensive Stroke Center, Hospital Clinic of Barcelona, Barcelona, Spain.\nInstitut d'Investigacions Biomèdiques Agustí Pi i Sunyer (IDIBAPS), Barcelona, Spain.\nSchool of Medicine, University of Barcelona, Barcelona, Spain.""}, {'lastname': None, 'firstname': None, 'initials': None, 'affiliation': None}]"
35143602,Intravenous Thrombolytic Therapy for Treatment of Acute Ischemic Stroke in Patients Taking Non-Vitamin K Antagonist Oral Anticoagulants.,[],JAMA,,,,,,10.1001/jama.2022.0068,2022-02-11,"[{'lastname': 'Seiffge', 'firstname': 'David J', 'initials': 'DJ', 'affiliation': 'Department of Neurology, Inselspital University Hospital and University of Bern, Bern, Switzerland.'}]"
35143601,Association of Recent Use of Non-Vitamin K Antagonist Oral Anticoagulants With Intracranial Hemorrhage Among Patients With Acute Ischemic Stroke Treated With Alteplase.,[],JAMA,"Current guidelines recommend against use of intravenous alteplase in patients with acute ischemic stroke who are taking non-vitamin K antagonist oral anticoagulants (NOACs).
To evaluate the safety and functional outcomes of intravenous alteplase among patients who were taking NOACs prior to stroke and compare outcomes with patients who were not taking long-term anticoagulants.
A retrospective cohort study of 163 038 patients with acute ischemic stroke either taking NOACs or not taking anticoagulants prior to stroke and treated with intravenous alteplase within 4.5 hours of symptom onset at 1752 US hospitals participating in the Get With The Guidelines-Stroke program between April 2015 and March 2020, with complementary data from the Addressing Real-world Anticoagulant Management Issues in Stroke registry.
Prestroke treatment with NOACs within 7 days prior to alteplase treatment.
The primary outcome was symptomatic intracranial hemorrhage occurring within 36 hours after intravenous alteplase administration. There were 4 secondary safety outcomes, including inpatient mortality, and 7 secondary functional outcomes assessed at hospital discharge, including the proportion of patients discharged home.
Of 163 038 patients treated with intravenous alteplase (median age, 70 [IQR, 59 to 81] years; 49.1% women), 2207 (1.4%) were taking NOACs and 160 831 (98.6%) were not taking anticoagulants prior to their stroke. Patients taking NOACs were older (median age, 75 [IQR, 64 to 82] years vs 70 [IQR, 58 to 81] years for those not taking anticoagulants), had a higher prevalence of cardiovascular comorbidities, and experienced more severe strokes (median National Institutes of Health Stroke Scale score, 10 [IQR, 5 to 17] vs 7 [IQR, 4 to 14]) (all standardized differences >10). The unadjusted rate of symptomatic intracranial hemorrhage was 3.7% (95% CI, 2.9% to 4.5%) for patients taking NOACs vs 3.2% (95% CI, 3.1% to 3.3%) for patients not taking anticoagulants. After adjusting for baseline clinical factors, the risk of symptomatic intracranial hemorrhage was not significantly different between groups (adjusted odds ratio [OR], 0.88 [95% CI, 0.70 to 1.10]; adjusted risk difference [RD], -0.51% [95% CI, -1.36% to 0.34%]). There were no significant differences in the secondary safety outcomes, including inpatient mortality (6.3% for patients taking NOACs vs 4.9% for patients not taking anticoagulants; adjusted OR, 0.84 [95% CI, 0.69 to 1.01]; adjusted RD, -1.20% [95% CI, -2.39% to -0%]). Of the secondary functional outcomes, 4 of 7 showed significant differences in favor of the NOAC group after adjustment, including the proportion of patients discharged home (45.9% vs 53.6% for patients not taking anticoagulants; adjusted OR, 1.17 [95% CI, 1.06 to 1.29]; adjusted RD, 3.84% [95% CI, 1.46% to 6.22%]).
Among patients with acute ischemic stroke treated with intravenous alteplase, use of NOACs within the preceding 7 days, compared with no use of anticoagulants, was not associated with a significantly increased risk of intracranial hemorrhage.",,,,,10.1001/jama.2022.0948,2022-02-11,"[{'lastname': 'Kam', 'firstname': 'Wayneho', 'initials': 'W', 'affiliation': 'Department of Neurology, Duke University Medical Center, Durham, North Carolina.'}, {'lastname': 'Holmes', 'firstname': 'DaJuanicia N', 'initials': 'DN', 'affiliation': 'Duke Clinical Research Institute, Duke University, Durham, North Carolina.'}, {'lastname': 'Hernandez', 'firstname': 'Adrian F', 'initials': 'AF', 'affiliation': 'Duke Clinical Research Institute, Duke University, Durham, North Carolina.\nDivision of Cardiology, Duke University Medical Center, Durham, North Carolina.'}, {'lastname': 'Saver', 'firstname': 'Jeffrey L', 'initials': 'JL', 'affiliation': 'Department of Neurology, University of California, Los Angeles.'}, {'lastname': 'Fonarow', 'firstname': 'Gregg C', 'initials': 'GC', 'affiliation': 'Division of Cardiology, University of California, Los Angeles.'}, {'lastname': 'Smith', 'firstname': 'Eric E', 'initials': 'EE', 'affiliation': 'Department of Clinical Neurosciences and the Hotchkiss Brain Institute, University of Calgary, Calgary, Alberta, Canada.'}, {'lastname': 'Bhatt', 'firstname': 'Deepak L', 'initials': 'DL', 'affiliation': ""Brigham and Women's Hospital Heart and Vascular Center and Harvard Medical School, Boston, Massachusetts.""}, {'lastname': 'Schwamm', 'firstname': 'Lee H', 'initials': 'LH', 'affiliation': 'Department of Neurology, Massachusetts General Hospital and Harvard Medical School, Boston.'}, {'lastname': 'Reeves', 'firstname': 'Mathew J', 'initials': 'MJ', 'affiliation': 'Department of Epidemiology and Biostatistics, Michigan State University, East Lansing.'}, {'lastname': 'Matsouaka', 'firstname': 'Roland A', 'initials': 'RA', 'affiliation': 'Duke Clinical Research Institute, Duke University, Durham, North Carolina.\nDepartment of Biostatistics and Bioinformatics, Duke University, Durham, North Carolina.'}, {'lastname': 'Khan', 'firstname': 'Yosef M', 'initials': 'YM', 'affiliation': 'Health Informatics and Analytics, Center for Health Metrics and Evaluation, American Heart Association, Dallas, Texas.'}, {'lastname': 'Unverdorben', 'firstname': 'Martin', 'initials': 'M', 'affiliation': 'Daiichi Sankyo Inc, Basking Ridge, New Jersey.'}, {'lastname': 'Birmingham', 'firstname': 'Mary C', 'initials': 'MC', 'affiliation': 'Janssen Scientific Affairs LLC, Titusville, New Jersey.'}, {'lastname': 'Lyden', 'firstname': 'Patrick D', 'initials': 'PD', 'affiliation': 'Zilkha Neurogenetic Institute of the Keck School of Medicine, University of Southern California, Los Angeles.'}, {'lastname': 'Asimos', 'firstname': 'Andrew W', 'initials': 'AW', 'affiliation': 'Department of Emergency Medicine, Carolinas Medical Center, Charlotte, North Carolina.'}, {'lastname': 'Altschul', 'firstname': 'Dorothea', 'initials': 'D', 'affiliation': 'Valley Hospital, Ridgewood, New Jersey.'}, {'lastname': 'Schoonover', 'firstname': 'Timothy L', 'initials': 'TL', 'affiliation': 'Dayton Center for Neurological Disorders, Centerville, Ohio.'}, {'lastname': 'Jumaa', 'firstname': 'Mouhammad A', 'initials': 'MA', 'affiliation': 'Department of Neurology, ProMedica Toledo Hospital, University of Toledo, Toledo, Ohio.'}, {'lastname': 'Nomura', 'firstname': 'Jason T', 'initials': 'JT', 'affiliation': 'Department of Emergency Medicine, ChristianaCare, Newark, Delaware.'}, {'lastname': 'Suri', 'firstname': 'Muhammad Fareed K', 'initials': 'MFK', 'affiliation': 'CentraCare, St Cloud, Minnesota.'}, {'lastname': 'Moore', 'firstname': 'S Arthur', 'initials': 'SA', 'affiliation': 'Fort Sanders Regional Medical Center, Knoxville, Tennessee.'}, {'lastname': 'Lafranchise', 'firstname': 'Eugene F', 'initials': 'EF', 'affiliation': 'Ascension Saint Thomas Hospital, Nashville, Tennessee.'}, {'lastname': 'Olson', 'firstname': 'DaiWai', 'initials': 'D', 'affiliation': 'Department of Neurology, University of Texas Southwestern Medical Center, Dallas.'}, {'lastname': 'Peterson', 'firstname': 'Eric D', 'initials': 'ED', 'affiliation': 'Division of Cardiology, University of Texas Southwestern Medical Center, Dallas.'}, {'lastname': 'Xian', 'firstname': 'Ying', 'initials': 'Y', 'affiliation': 'Department of Neurology, University of Texas Southwestern Medical Center, Dallas.'}]"
35143600,Intra-arterial Thrombolysis to Target Occlusions in Distal Arteries and the Microcirculation.,[],JAMA,,,,,,10.1001/jama.2021.25014,2022-02-11,"[{'lastname': 'Khatri', 'firstname': 'Pooja', 'initials': 'P', 'affiliation': 'University of Cincinnati, Cincinnati, Ohio.'}]"
35142782,"Respiratory Protection for the Nation: A Report From the National Academies of Sciences, Engineering, and Medicine.",[],JAMA,,,,,,10.1001/jama.2022.1318,2022-02-11,"[{'lastname': 'Samet', 'firstname': 'Jonathan M', 'initials': 'JM', 'affiliation': 'Office of the Dean, Department of Epidemiology, Colorado School of Public Health, Aurora.'}, {'lastname': 'Holm', 'firstname': 'Stephanie M', 'initials': 'SM', 'affiliation': 'Western States Pediatric Environmental Health Specialty Unit, Division of Occupational and Environmental Medicine, University of California, San Francisco.'}, {'lastname': 'Jayaraman', 'firstname': 'Sundaresan', 'initials': 'S', 'affiliation': 'School of Materials Science and Engineering, Georgia Institute of Technology, Atlanta.'}]"
35138328,How Prolonged Isolation Affects People With Parkinson Disease During the COVID-19 Pandemic.,[],JAMA,,,,,,10.1001/jama.2022.1510,2022-02-10,"[{'lastname': 'Suran', 'firstname': 'Melissa', 'initials': 'M', 'affiliation': None}]"
35133430,Cell-Free RNA in Maternal Plasma Predicts Preeclampsia.,[],JAMA,,,,,,10.1001/jama.2022.0327,2022-02-09,"[{'lastname': 'Abbasi', 'firstname': 'Jennifer', 'initials': 'J', 'affiliation': None}]"
35133429,Fourth COVID-19 Vaccine Dose Increases Low Antibodies.,[],JAMA,,,,,,10.1001/jama.2022.0727,2022-02-09,"[{'lastname': 'Abbasi', 'firstname': 'Jennifer', 'initials': 'J', 'affiliation': None}]"
