pubmed_id,abstract
35143603,"It is estimated that only 27% of patients with acute ischemic stroke and large vessel occlusion who undergo successful reperfusion after mechanical thrombectomy are disability free at 90 days. An incomplete microcirculatory reperfusion might contribute to these suboptimal clinical benefits.
To investigate whether treatment with adjunct intra-arterial alteplase after thrombectomy improves outcomes following reperfusion.
Phase 2b randomized, double-blind, placebo-controlled trial performed from December 2018 through May 2021 in 7 stroke centers in Catalonia, Spain. The study included 121 patients with large vessel occlusion acute ischemic stroke treated with thrombectomy within 24 hours after stroke onset and with an expanded Treatment in Cerebral Ischemia angiographic score of 2b50 to 3.
Participants were randomized to receive intra-arterial alteplase (0.225 mg/kg; maximum dose, 22.5 mg) infused over 15 to 30 minutes (n = 61) or placebo (n = 52).
The primary outcome was the difference in proportion of patients achieving a score of 0 or 1 on the 90-day modified Rankin Scale (range, 0 [no symptoms] to 6 [death]) in all patients treated as randomized. Safety outcomes included rate of symptomatic intracranial hemorrhage and death.
The study was terminated early for inability to maintain placebo availability and enrollment rate because of the COVID-19 pandemic. Of 1825 patients with acute ischemic stroke treated with thrombectomy at the 7 study sites, 748 (41%) patients fulfilled the angiographic criteria, 121 (7%) patients were randomized (mean age, 70.6 [SD, 13.7] years; 57 women [47%]), and 113 (6%) were treated as randomized. The proportion of participants with a modified Rankin Scale score of 0 or 1 at 90 days was 59.0% (36/61) with alteplase and 40.4% (21/52) with placebo (adjusted risk difference, 18.4%; 95% CI, 0.3%-36.4%; P = .047). The proportion of patients with symptomatic intracranial hemorrhage within 24 hours was 0% with alteplase and 3.8% with placebo (risk difference, -3.8%; 95% CI, -13.2% to 2.5%). Ninety-day mortality was 8% with alteplase and 15% with placebo (risk difference, -7.2%; 95% CI, -19.2% to 4.8%).
Among patients with large vessel occlusion acute ischemic stroke and successful reperfusion following thrombectomy, the use of adjunct intra-arterial alteplase compared with placebo resulted in a greater likelihood of excellent neurological outcome at 90 days. However, because of study limitations, these findings should be interpreted as preliminary and require replication.
ClinicalTrials.gov Identifier: NCT03876119; EudraCT Number: 2018-002195-40."
35143601,"Current guidelines recommend against use of intravenous alteplase in patients with acute ischemic stroke who are taking non-vitamin K antagonist oral anticoagulants (NOACs).
To evaluate the safety and functional outcomes of intravenous alteplase among patients who were taking NOACs prior to stroke and compare outcomes with patients who were not taking long-term anticoagulants.
A retrospective cohort study of 163 038 patients with acute ischemic stroke either taking NOACs or not taking anticoagulants prior to stroke and treated with intravenous alteplase within 4.5 hours of symptom onset at 1752 US hospitals participating in the Get With The Guidelines-Stroke program between April 2015 and March 2020, with complementary data from the Addressing Real-world Anticoagulant Management Issues in Stroke registry.
Prestroke treatment with NOACs within 7 days prior to alteplase treatment.
The primary outcome was symptomatic intracranial hemorrhage occurring within 36 hours after intravenous alteplase administration. There were 4 secondary safety outcomes, including inpatient mortality, and 7 secondary functional outcomes assessed at hospital discharge, including the proportion of patients discharged home.
Of 163 038 patients treated with intravenous alteplase (median age, 70 [IQR, 59 to 81] years; 49.1% women), 2207 (1.4%) were taking NOACs and 160 831 (98.6%) were not taking anticoagulants prior to their stroke. Patients taking NOACs were older (median age, 75 [IQR, 64 to 82] years vs 70 [IQR, 58 to 81] years for those not taking anticoagulants), had a higher prevalence of cardiovascular comorbidities, and experienced more severe strokes (median National Institutes of Health Stroke Scale score, 10 [IQR, 5 to 17] vs 7 [IQR, 4 to 14]) (all standardized differences >10). The unadjusted rate of symptomatic intracranial hemorrhage was 3.7% (95% CI, 2.9% to 4.5%) for patients taking NOACs vs 3.2% (95% CI, 3.1% to 3.3%) for patients not taking anticoagulants. After adjusting for baseline clinical factors, the risk of symptomatic intracranial hemorrhage was not significantly different between groups (adjusted odds ratio [OR], 0.88 [95% CI, 0.70 to 1.10]; adjusted risk difference [RD], -0.51% [95% CI, -1.36% to 0.34%]). There were no significant differences in the secondary safety outcomes, including inpatient mortality (6.3% for patients taking NOACs vs 4.9% for patients not taking anticoagulants; adjusted OR, 0.84 [95% CI, 0.69 to 1.01]; adjusted RD, -1.20% [95% CI, -2.39% to -0%]). Of the secondary functional outcomes, 4 of 7 showed significant differences in favor of the NOAC group after adjustment, including the proportion of patients discharged home (45.9% vs 53.6% for patients not taking anticoagulants; adjusted OR, 1.17 [95% CI, 1.06 to 1.29]; adjusted RD, 3.84% [95% CI, 1.46% to 6.22%]).
Among patients with acute ischemic stroke treated with intravenous alteplase, use of NOACs within the preceding 7 days, compared with no use of anticoagulants, was not associated with a significantly increased risk of intracranial hemorrhage."
35133415,"The effects of tirzepatide, a dual glucose-dependent insulinotropic polypeptide and glucagon-like peptide-1 receptor agonist, as an addition to insulin glargine for treatment of type 2 diabetes have not been described.
To assess the efficacy and safety of tirzepatide added to insulin glargine in patients with type 2 diabetes with inadequate glycemic control.
Randomized phase 3 clinical trial conducted at 45 medical research centers and hospitals in 8 countries (enrollment from August 30, 2019, to March 20, 2020; follow-up completed January 13, 2021) in 475 adults with type 2 diabetes and inadequate glycemic control while treated with once-daily insulin glargine with or without metformin.
Patients were randomized in a 1:1:1:1 ratio to receive once-weekly subcutaneous injections of 5-mg (n = 116), 10-mg (n = 119), or 15-mg (n = 120) tirzepatide or volume-matched placebo (n = 120) over 40 weeks. Tirzepatide was initiated at 2.5 mg/week and escalated by 2.5 mg every 4 weeks until the assigned dose was achieved.
The primary end point was mean change from baseline in glycated hemoglobin A1c (HbA1c) at week 40. The 5 key secondary end points included mean change in body weight and percentage of patients achieving prespecified HbA1c levels.
Among 475 randomized participants (211 [44%] women; mean [SD] age, 60.6 [9.9] years; mean [SD] HbA1c, 8.31% [0.85%]), 451 (94.9%) completed the trial. Treatment was prematurely discontinued by 10% of participants in the 5-mg tirzepatide group, 12% in the 10-mg tirzepatide group, 18% in the 15-mg tirzepatide group, and 3% in the placebo group. At week 40, mean HbA1c change from baseline was -2.40% with 10-mg tirzepatide and -2.34% with 15-mg tirzepatide vs -0.86% with placebo (10 mg: difference vs placebo, -1.53% [97.5% CI, -1.80% to -1.27%]; 15 mg: difference vs placebo, -1.47% [97.5% CI, -1.75% to -1.20%]; P < .001 for both). Mean HbA1c change from baseline was -2.11% with 5-mg tirzepatide (difference vs placebo, -1.24% [95% CI, -1.48% to -1.01%]; P < .001]). Mean body weight change from baseline was -5.4 kg with 5-mg tirzepatide, -7.5 kg with 10-mg tirzepatide, -8.8 kg with 15-mg tirzepatide and 1.6 kg with placebo (5 mg: difference, -7.1 kg [95% CI, -8.7 to -5.4]; 10 mg: difference, -9.1 kg [95% CI, -10.7 to -7.5]; 15 mg: difference, -10.5 kg [95% CI, -12.1 to -8.8]; P < .001 for all). Higher percentages of patients treated with tirzepatide vs those treated with placebo had HbA1c less than 7% (85%-90% vs 34%; P < .001 for all). The most common treatment-emergent adverse events in the tirzepatide groups vs placebo group were diarrhea (12%-21% vs 10%) and nausea (13%-18% vs 3%).
Among patients with type 2 diabetes and inadequate glycemic control despite treatment with insulin glargine, the addition of subcutaneous tirzepatide, compared with placebo, to titrated insulin glargine resulted in statistically significant improvements in glycemic control after 40 weeks.
ClinicalTrials.gov Identifier: NCT04039503."
35133411,"More deaths in the US are attributed to cigarette smoking each year than to any other preventable cause. Approximately 34 million people and an estimated 14% of adults in the US smoke cigarettes. If they stopped smoking, they could reduce their risk of tobacco-related morbidity and mortality and potentially gain up to 10 years of life.
Tobacco smoking is a chronic disorder maintained by physical nicotine dependence and learned behaviors. Approximately 70% of people who smoke cigarettes want to quit smoking. However, individuals who attempt to quit smoking make an average of approximately 6 quit attempts before achieving long-term abstinence. Both behavioral counseling and pharmacotherapy while using nicotine replacement therapy (NRT) products, varenicline, or bupropion are effective treatments when used individually, but they are most effective when combined. In a meta-analysis including 19 488 people who smoked cigarettes, the combination of medication and behavioral counseling was associated with a quit rate of 15.2% over 6 months compared with a quit rate of 8.6% with brief advice or usual care. The EAGLES trial, a randomized double-blind clinical trial of 8144 people who smoked, directly compared the efficacy and safety of varenicline, bupropion, nicotine patch, and placebo and found a significantly higher 6-month quit rate for varenicline (21.8%) than for bupropion (16.2%) and the nicotine patch (15.7%). Each therapy was more effective than placebo (9.4%). Combining a nicotine patch with other NRT products is more effective than use of a single NRT product. Combining drugs with different mechanisms of action, such as varenicline and NRT, has increased quit rates in some studies compared with use of a single product. Brief or intensive behavioral support can be delivered effectively in person or by telephone, text messages, or the internet. The combination of a clinician's brief advice to quit and assistance to obtain tobacco cessation treatment is effective when routinely administered to tobacco users in virtually all health care settings.
Approximately 34 million people in the US smoke cigarettes and could potentially gain up to a decade of life expectancy by stopping smoking. First-line therapy should include both pharmacotherapy and behavioral support, with varenicline or combination NRT as preferred initial interventions."
35129581,"It remains unknown whether SARS-CoV-2 infection specifically increases the risk of serious obstetric morbidity.
To evaluate the association of SARS-CoV-2 infection with serious maternal morbidity or mortality from common obstetric complications.
Retrospective cohort study of 14 104 pregnant and postpartum patients delivered between March 1, 2020, and December 31, 2020 (with final follow-up to February 11, 2021), at 17 US hospitals participating in the Eunice Kennedy Shriver National Institute of Child Health and Human Development's Gestational Research Assessments of COVID-19 (GRAVID) Study. All patients with SARS-CoV-2 were included and compared with those without a positive SARS-CoV-2 test result who delivered on randomly selected dates over the same period.
SARS-CoV-2 infection was based on a positive nucleic acid or antigen test result. Secondary analyses further stratified those with SARS-CoV-2 infection by disease severity.
The primary outcome was a composite of maternal death or serious morbidity related to hypertensive disorders of pregnancy, postpartum hemorrhage, or infection other than SARS-CoV-2. The main secondary outcome was cesarean birth.
Of the 14 104 included patients (mean age, 29.7 years), 2352 patients had SARS-CoV-2 infection and 11 752 did not have a positive SARS-CoV-2 test result. Compared with those without a positive SARS-CoV-2 test result, SARS-CoV-2 infection was significantly associated with the primary outcome (13.4% vs 9.2%; difference, 4.2% [95% CI, 2.8%-5.6%]; adjusted relative risk [aRR], 1.41 [95% CI, 1.23-1.61]). All 5 maternal deaths were in the SARS-CoV-2 group. SARS-CoV-2 infection was not significantly associated with cesarean birth (34.7% vs 32.4%; aRR, 1.05 [95% CI, 0.99-1.11]). Compared with those without a positive SARS-CoV-2 test result, moderate or higher COVID-19 severity (n = 586) was significantly associated with the primary outcome (26.1% vs 9.2%; difference, 16.9% [95% CI, 13.3%-20.4%]; aRR, 2.06 [95% CI, 1.73-2.46]) and the major secondary outcome of cesarean birth (45.4% vs 32.4%; difference, 12.8% [95% CI, 8.7%-16.8%]; aRR, 1.17 [95% CI, 1.07-1.28]), but mild or asymptomatic infection (n = 1766) was not significantly associated with the primary outcome (9.2% vs 9.2%; difference, 0% [95% CI, -1.4% to 1.4%]; aRR, 1.11 [95% CI, 0.94-1.32]) or cesarean birth (31.2% vs 32.4%; difference, -1.4% [95% CI, -3.6% to 0.8%]; aRR, 1.00 [95% CI, 0.93-1.07]).
Among pregnant and postpartum individuals at 17 US hospitals, SARS-CoV-2 infection was associated with an increased risk for a composite outcome of maternal mortality or serious morbidity from obstetric complications."
35119057,"The variety of clinical presentation on the topic of carbon monoxide (CO) intoxication ranges from slight headache to coma or death. YouTube allows patients to search not only for entertainment but also medical advice. Therefore, the aim of this study was to evaluate the content and quality of YouTube videos concerning CO poisoning as a source of knowledge for non-medical audience.
On the December 8, 2020 a YouTube search was conducted for the following phrases: ""carbon monoxide poisoning,"" ""carbon monoxide symptoms,"" ""CO poisoning,"" ""carbon monoxide asphyxiation,"" ""carbon monoxide intoxication"" using the ""incognito mode"" and without attachment to Google Account. The search results were set as: ""default"" in the YouTube browser. The first 50 results were taken into consideration. Two raters, a specialist in emergency medicine and a specialist in clinical toxicology rated videos with Quality Criteria for Consumer Health Information (DISCERN), Global Quality Score (GQS) and
Ninety-five videos were included. The interclass coefficient for DISCERN, GQS and JAMA scores were: 0.8, 0.74 and 0.62 reaching good and moderate reliability. The mean DISCERN/GQS/JAMA was 28.1 (SD 7.9), 2.5 (SD 0.8) and 1.1 (SD 0.7) respectively. Higher DISCERN/GQS/JAMA had videos providing information on: exposure time, treatment options, hyperbaric chamber indications as well as physician speaker (p < 0.05). Video Power Index was higher when the video contained animations and presented patients own history of CO exposure but not influenced the DISCERN/ GQS/JAMA scores. Videos providing misleading information had a higher like ratio.
The overall video quality was poor indicating inappropriate educational and informative value for patients who search information about carbon monoxide poisoning."
35114751,"Radioactive iodine (RAI) therapy is a radionuclide treatment for hyperthyroidism and well-differentiated thyroid cancer. One of the most popular sources of information for patients on the internet is YouTube. This study aimed to examine the quality of videos about RAI treatment.
This cross-sectional study was performed by using videos in YouTube. The terms ""radyoaktif iyot tedavisi"" and ""radioactive iodine treatment"" were used to search related videos in June 2021. The quality of the videos was assessed by using the Journal of the American Medical Association (JAMA) benchmark criteria, the DISCERN scale, and the global quality scale (GQS).
Of the total 88 videos evaluated, 56 videos (30 in English, 26 in Turkish) were analyzed according to the inclusion and exclusion criteria. Seven (12.5%) videos were assigned to the high-quality group, 16 (28.58%) to the intermediate quality group, and 33 (58.92%) to the low quality group. The findings of this study showed that the most popular videos with the highest video power index (VPI) scores and the highest number of video likes and comments belonged to the intermediate quality group. Contrarily, popularity level, number of video likes, and number of video views were the lowest in the high-quality group. The analysis of video sources revealed that viewers most preferred non-physician-sourced videos, with average total views of 59307.80 [standard deviation (SD): 122554.13]. The most liked videos were non-physician-made videos, with average total likes of 424.35 (SD: 639.41). The mean VPI scores were the highest in non-physician-made videos, with 25.18 (SD: 25.69). The average JAMA (1.92, SD: 0.50), DISCERN (34.31, SD: 14.33), and GQS scores (2.61, SD: 0.99) were the highest in physician-made videos.
Although high-quality videos on YouTube may inform and encourage patients positively, unprofessional, incorrect, and incomplete information can be also uploaded on YouTube and may mislead patients.
Radyoaktif iyot (RAI) tedavisi, hipertiroidizm ve iyi diferansiye tiroid kanseri için bir radyonüklid tedavisidir. İnternette hastalar için en popüler bilgi kaynaklarından biri YouTube’dir. Bu çalışma, RAI tedavisi ile ilgili videoların kalitesini incelemeyi amaçlamaktadır.
Bu kesitsel çalışma YouTube kullanılarak gerçekleştirilmiştir. Haziran 2021’de ilgili videoların aranmasında “radyoaktif iyot tedavisi” ve “radioactive iodine treatment” terimleri kullanıldı. Videoların kalitesi, Amerikan Tıp Derneği Dergisi (JAMA) benchmark kriterleri, DISCERN ölçeği ve küresel kalite ölçeği kullanılarak (GQS) değerlendirildi.
Toplam 88 video değerlendirildi ve toplam 56 video (30 İngilizce, 26 Türkçe) dahil edilme ve hariç tutulma kriterlerine göre analiz edildi. Yedi video (%12,5) yüksek kaliteli grup, 16 video (%28,58) orta kaliteli grup ve 33 video (%58,92) düşük kaliteli grup olarak sınıflandırıldı. Çalışmamızın bulguları, en yüksek video güç indeksi puanına sahip en popüler videolar ile en fazla beğeni ve yorum sayısına sahip videoların orta kalite grubundaki videolar olduğunu gösterdi. Aksine, popülerlik düzeyi, video beğeni sayısı ve video izlenme sayısı yüksek kaliteli video grubunda en düşük bulundu. Video kaynaklarının analizinde; izleyiciler tarafından en çok tercih edilen videoların, ortalama 59307,80 [standart sapma (SS): 122554,13] izlenme sayısı ile hekim kaynaklı olmayan videolar olduğu saptandı. En çok beğenilen videolar ise ortalama 424,35 (SS: 639,41) beğeni ile hekim olmayanlara aitti. Video güç indeksi puanlarının ortalaması en yüksek 25,18 (SS: 25,69) olarak saptanmış ve hekim olmayanlara ait videolarda bulunmuştur. Doktorlara ait videolarda ortalama JAMA (1,92, SS: 0,50), DISCERN (34,31, SS: 14,33) ve GQS puanları (2,61, SS: 0,99) en yüksek olarak saptanmıştır.
Her ne kadar YouTube’deki yüksek kaliteli videolar, hastaları olumlu yönde bilgilendirebilmekte ve teşvik edici olabilmekte ise de; yanlış ve eksik bilgilendirmelerin de bu platforma yüklenebileceği ve hastaları yanıltabileceği unutulmamalıdır."
35103767,"Idiopathic dilated cardiomyopathy (DCM) aggregates in families, and early detection in at-risk family members can provide opportunity to initiate treatment prior to late-phase disease. Most studies have included only White patients, yet Black patients with DCM have higher risk of heart failure-related hospitalization and death.
To estimate the prevalence of familial DCM among DCM probands and the age-specific cumulative risk of DCM in first-degree relatives across race and ethnicity groups.
A family-based, cross-sectional study conducted by a multisite consortium of 25 US heart failure programs. Participants included patients with DCM (probands), defined as left ventricular systolic dysfunction and left ventricular enlargement after excluding usual clinical causes, and their first-degree relatives. Enrollment commenced June 7, 2016; proband and family member enrollment concluded March 15, 2020, and April 1, 2021, respectively.
The presence of DCM in a proband.
Familial DCM defined by DCM in at least 1 first-degree relative; expanded familial DCM defined by the presence of DCM or either left ventricular enlargement or left ventricular systolic dysfunction without known cause in at least 1 first-degree relative.
The study enrolled 1220 probands (median age, 52.8 years [IQR, 42.4-61.8]; 43.8% female; 43.1% Black and 8.3% Hispanic) and screened 1693 first-degree relatives for DCM. A median of 28% (IQR, 0%-60%) of living first-degree relatives were screened per family. The crude prevalence of familial DCM among probands was 11.6% overall. The model-based estimate of the prevalence of familial DCM among probands at a typical US advanced heart failure program if all living first-degree relatives were screened was 29.7% (95% CI, 23.5% to 36.0%) overall. The estimated prevalence of familial DCM was higher in Black probands than in White probands (difference, 11.3% [95% CI, 1.9% to 20.8%]) but did not differ significantly between Hispanic probands and non-Hispanic probands (difference, -1.4% [95% CI, -15.9% to 13.1%]). The estimated prevalence of expanded familial DCM was 56.9% (95% CI, 50.8% to 63.0%) overall. Based on age-specific disease status at enrollment, estimated cumulative risks in first-degree relatives at a typical US advanced heart failure program reached 19% (95% CI, 13% to 24%) by age 80 years for DCM and 33% (95% CI, 27% to 40%) for expanded DCM inclusive of partial phenotypes. The DCM hazard was higher in first-degree relatives of non-Hispanic Black probands than non-Hispanic White probands (hazard ratio, 1.89 [95% CI, 1.26 to 2.83]).
In a US cross-sectional study, there was substantial estimated prevalence of familial DCM among probands and modeled cumulative risk of DCM among their first-degree relatives.
ClinicalTrials.gov Identifier: NCT03037632."
35103766,"The optimal approach to the use of venoarterial extracorporeal membrane oxygenation (ECMO) during cardiogenic shock is uncertain.
To determine whether early use of moderate hypothermia (33-34 °C) compared with strict normothermia (36-37 °C) improves mortality in patients with cardiogenic shock receiving venoarterial ECMO.
Randomized clinical trial of patients (who were eligible if they had been endotracheally intubated and were receiving venoarterial ECMO for cardiogenic shock for <6 hours) conducted in the intensive care units at 20 French cardiac shock care centers between October 2016 and July 2019. Of 786 eligible patients, 374 were randomized. Final follow-up occurred in November 2019.
Early moderate hypothermia (33-34 °C; n = 168) for 24 hours or strict normothermia (36-37 °C; n = 166).
The primary outcome was mortality at 30 days. There were 31 secondary outcomes including mortality at days 7, 60, and 180; a composite outcome of death, heart transplant, escalation to left ventricular assist device implantation, or stroke at days 30, 60, and 180; and days without requiring a ventilator or kidney replacement therapy at days 30, 60, and 180. Adverse events included rates of severe bleeding, sepsis, and number of units of packed red blood cells transfused during venoarterial ECMO.
Among the 374 patients who were randomized, 334 completed the trial (mean age, 58 [SD, 12] years; 24% women) and were included in the primary analysis. At 30 days, 71 patients (42%) in the moderate hypothermia group had died vs 84 patients (51%) in the normothermia group (adjusted odds ratio, 0.71 [95% CI, 0.45 to 1.13], P = .15; risk difference, -8.3% [95% CI, -16.3% to -0.3%]). For the composite outcome of death, heart transplant, escalation to left ventricular assist device implantation, or stroke at day 30, the adjusted odds ratio was 0.61 (95% CI, 0.39 to 0.96; P = .03) for the moderate hypothermia group compared with the normothermia group and the risk difference was -11.5% (95% CI, -23.2% to 0.2%). Of the 31 secondary outcomes, 30 were inconclusive. The incidence of moderate or severe bleeding was 41% in the moderate hypothermia group vs 42% in the normothermia group. The incidence of infections was 52% in both groups. The incidence of bacteremia was 20% in the moderate hypothermia group vs 30% in the normothermia group.
In this randomized clinical trial involving patients with refractory cardiogenic shock treated with venoarterial ECMO, early application of moderate hypothermia for 24 hours did not significantly increase survival compared with normothermia. However, because the 95% CI was wide and included a potentially important effect size, these findings should be considered inconclusive.
ClinicalTrials.gov Identifier: NCT02754193."
35103762,"Multiple myeloma is a hematologic malignancy characterized by presence of abnormal clonal plasma cells in the bone marrow, with potential for uncontrolled growth causing destructive bone lesions, kidney injury, anemia, and hypercalcemia. Multiple myeloma is diagnosed in an estimated 34 920 people in the US and in approximately 588 161 people worldwide each year.
Among patients with multiple myeloma, approximately 73% have anemia, 79% have osteolytic bone disease, and 19% have acute kidney injury at the time of presentation. Evaluation of patients with possible multiple myeloma includes measurement of hemoglobin, serum creatinine, serum calcium, and serum free light chain levels; serum protein electrophoresis with immunofixation; 24-hour urine protein electrophoresis; and full-body skeletal imaging with computed tomography, positron emission tomography, or magnetic resonance imaging. The Revised International Staging System combines data from the serum biomarkers β2 microglobulin, albumin, and lactate dehydrogenase in conjunction with malignant plasma cell genomic features found on fluorescence in situ hybridization-t(4;14), del(17p), and t(14;16)-to assess estimated progression-free survival and overall survival. At diagnosis, 28% of patients are classified as having Revised International Staging stage I multiple myeloma, and these patients have a median 5-year survival of 82%. Among all patients with multiple myeloma, standard first-line (induction) therapy consists of a combination of an injectable proteasome inhibitor (ie, bortezomib), an oral immunomodulatory agent (ie, lenalidomide), and dexamethasone and is associated with median progression-free survival of 41 months, compared with historical reports of 8.5 months without therapy. This induction therapy combined with autologous hematopoietic stem cell transplantation followed by maintenance lenalidomide is standard of care for eligible patients.
Approximately 34 920 people in the US and 155 688 people worldwide are diagnosed with multiple myeloma each year. Induction therapy with an injectable proteasome inhibitor, an oral immunomodulatory agent and dexamethasone followed by treatment with autologous hematopoietic stem cell transplantation, and maintenance therapy with lenalidomide are among the treatments considered standard care for eligible patients."
